dates,510 cv,180 cv,150 cv,210 cv,200 cv,280 cv
2019-06-01,55990.0,23490.0,28990.0,35990.0,39890.0,52990.0
2019-08-01,78411.11111111111,27490.0,33990.0,31865.0,39890.0,38924.75
2019-09-01,68865.71428571429,26990.0,23990.0,34470.0,40656.666666666664,
2019-10-01,68240.0,34990.0,22459.0,36318.75,39994.5,
2019-11-01,,26980.0,41990.0,33947.142857142855,30872.5,
2019-12-01,,27026.263157894737,35653.333333333336,,34376.27272727273,
2020-01-01,,26143.043478260868,32291.727272727272,,30250.833333333332,
2020-02-01,,25993.030303030304,30966.583333333332,,,
2020-03-01,,,24889.166666666668,,,
2020-04-01,,,33985.0,,,
2020-05-01,,,28477.894736842107,,,
2020-06-01,,,27187.36842105263,,,
2020-07-01,,,25912.379310344826,,,
