dates,115 cv,95 cv,90 cv,120 cv,110 cv,150 cv,92 cv,81 cv
2020-04-01,12070.0,9844.0,8418.75,12507.5,8770.0,7200.0,7540.0,5500.0
2020-05-01,,9598.75,8538.0,9340.0,8996.0,,7105.0,
2020-06-01,,10526.363636363636,6760.0,7490.0,8417.5,,7960.0,
