dates,150 cv
2019-04-01,38999.0
2019-05-01,34980.0
2019-07-01,40296.0
2019-10-01,36990.0
2019-12-01,36745.0
2020-01-01,40990.0
2020-02-01,42752.0
2020-03-01,45120.0
2020-05-01,45900.0
2020-06-01,36316.73333333333
2020-07-01,35512.470588235294
