dates,92 cv,115 cv,68 cv,82 cv,120 cv,110 cv
2019-09-01,11900.0,12990.0,12095.0,10970.0,13590.0,13356.666666666666
2019-11-01,13900.0,14590.0,11945.0,11973.125,15926.0,13545.0
2019-12-01,10190.0,14925.666666666666,12866.0,11710.833333333334,13720.0,14289.5
2020-01-01,14111.07142857143,13587.5,11840.0,12569.666666666666,12918.75,
2020-02-01,12086.034482758621,13627.285714285714,11765.0,12270.833333333334,14615.29411764706,
2020-03-01,11400.967741935483,14267.317073170732,11812.142857142857,,,
2020-04-01,13865.2,,12025.714285714286,,,
2020-05-01,,,11374.23076923077,,,
2020-06-01,,,12401.764705882353,,,
2020-07-01,,,12217.25,,,
