dates,245 cv,150 cv,252 cv,286 cv
2019-05-01,59991.0,57770.0,59490.0,69900.0
2020-02-01,56960.0,43945.0,53385.0,69940.0
2020-03-01,62977.5,56723.333333333336,,65890.0
2020-06-01,,,,59890.0
