dates,235 cv,170 cv,120 cv,105 cv
2019-08-01,13995.0,12990.0,9890.0,8990.0
2019-10-01,13981.666666666666,12795.0,11245.0,13266.333333333334
2019-11-01,16506.25,16390.0,11047.5,11990.0
2019-12-01,,12990.0,10259.083333333334,11018.75
2020-01-01,,13630.0,10909.5,13400.5
2020-02-01,,18990.0,10349.698630136987,11050.0
2020-03-01,,12241.578947368422,,10744.833333333334
2020-04-01,,12424.406976744185,,8490.0
2020-05-01,,12165.259842519685,,10083.727272727272
2020-06-01,,,,9935.477064220184
2020-07-01,,,,9173.21052631579
