dates,130 cv,165 cv,115 cv,110 cv,90 cv,205 cv
2020-03-01,24193.333333333332,29929.090909090908,22404.035087719298,23375.0,21742.0,63186.666666666664
2020-04-01,23046.25,29220.0,23557.777777777777,,,
2020-05-01,,,22570.0,,,
