dates,700 cv,420 cv,450 cv,475 cv,580 cv,370 cv,540 cv,500 cv,520 cv
2019-09-01,389990.0,118900.0,143890.0,129900.0,169945.0,103900.0,153150.0,169900.0,232495.0
2019-10-01,397188.1818181818,95900.0,161398.06451612903,146670.0,157900.0,163990.0,166853.33333333334,177130.0,
2019-11-01,191900.0,128890.0,155075.75,148220.0,189412.58333333334,126850.0,145362.2,169556.0,
2020-01-01,,127946.0,152490.0,137490.5,180643.0,139900.0,124900.0,169572.66666666666,
2020-02-01,,123979.35483870968,137359.25490196078,,157900.0,126200.0,,184681.3125,
2020-04-01,,122049.64285714286,,,,147595.0,,,
2020-05-01,,118777.67647058824,,,,133031.0,,,
2020-06-01,,,,,,124239.2,,,
2020-07-01,,,,,,124762.96551724138,,,
