dates,163 cv,122 cv,258 cv,306 cv,231 cv,233 cv,143 cv,177 cv,136 cv,218 cv,197 cv,286 cv,150 cv
2020-04-01,12370.0,5455.0,13860.0,17565.0,13380.0,13175.0,10020.0,6480.0,6750.0,9790.0,13155.0,14120.0,5190.0
2020-05-01,6780.0,7990.0,,34880.0,11910.0,11110.0,6620.0,8910.0,11480.0,,12990.0,,
2020-06-01,9041.42857142857,,,,12911.666666666666,,8620.0,8700.0,,,,,
