dates,120 cv,130 cv,178 cv,180 cv,160 cv,165 cv
2019-07-01,38480.0,29700.0,40198.0,40314.0,29900.0,35495.0
2019-10-01,37426.333333333336,31990.0,37790.0,38907.0,39540.0,
2019-11-01,34993.0,29374.0,31480.0,42990.0,,
2019-12-01,33433.57142857143,21300.0,36990.0,38393.0,,
2020-01-01,37457.75,,42500.0,36698.8,,
2020-02-01,41222.882352941175,,31980.0,,,
2020-03-01,35290.72727272727,,,,,
2020-04-01,33992.5,,,,,
2020-05-01,35445.0,,,,,
2020-06-01,37607.73333333333,,,,,
2020-07-01,27096.666666666668,,,,,
