dates,130 cv,150 cv
2019-12-01,18433.333333333332,19490.0
2020-01-01,17490.0,19900.0
2020-05-01,13990.0,17990.0
2020-06-01,16670.863636363636,17670.0
2020-07-01,15822.941176470587,
