dates,150 cv,184 cv,120 cv,367 cv,177 cv,310 cv,140 cv,220 cv,180 cv,340 cv
2020-03-01,27536.989247311827,28339.62962962963,25873.75,49520.0,27884.0,39325.0,21556.666666666668,28230.0,32210.0,49660.0
2020-04-01,25775.76923076923,28000.0,22685.555555555555,,27240.0,,22552.5,,,
2020-05-01,26633.695652173912,29275.384615384617,,,,,19500.0,,,
