dates,306 cv,190 cv,136 cv,421 cv,224 cv,387 cv,163 cv,116 cv,150 cv,161 cv
2020-04-01,76859.6551724138,53492.0,49891.666666666664,168077.5,67879.33333333333,81626.0,37957.5,34470.87912087912,42781.53846153846,39866.666666666664
2020-05-01,62261.666666666664,52631.75572519084,38137.5,153376.66666666666,56380.0,88031.42857142857,35382.0,33821.704545454544,41050.0,44513.333333333336
2020-06-01,56396.666666666664,48302.96875,37703.333333333336,203736.0,62255.833333333336,72067.5,39243.333333333336,34670.56910569106,42006.666666666664,43220.0
2020-07-01,58747.5,46389.45945945946,,,47390.0,,,,,
