dates,177 cv,75 cv,110 cv,60 cv,136 cv,90 cv,109 cv,70 cv,68 cv
2019-12-01,8200.0,2090.0,2031.6666666666667,2690.0,4990.0,2528.625,1990.0,2512.0,4515.0
2020-02-01,,2296.6666666666665,3490.0,4826.333333333333,,2745.0,,,
2020-05-01,,2800.0,,1752.0384615384614,,,,,
2020-06-01,,,,1827.0,,,,,
2020-07-01,,,,2650.0,,,,,
