dates,68 cv,86 cv,103 cv,88 cv
2019-01-01,4490.0,2250.0,1400.0,2900.0
2020-01-01,3400.0,2480.0,3200.0,
2020-05-01,3490.0,2275.0,,
2020-06-01,3017.6923076923076,,,
