dates,304 cv,309 cv,548 cv,418 cv,213 cv
2019-11-01,24000.0,18990.0,44900.0,32766.666666666668,27990.0
2020-05-01,25579.8,37450.0,,38900.0,
2020-06-01,22750.0,30800.0,,,
2020-07-01,,27326.666666666668,,,
