dates,240 cv,140 cv,180 cv,105 cv,115 cv,90 cv,87 cv,110 cv,125 cv,130 cv,120 cv,100 cv,136 cv,160 cv
2019-08-01,10862.5,6886.0,8650.0,9130.0,4950.0,5845.0,8900.0,10200.0,6614.0,7595.0,6200.0,11000.0,9330.0,8800.0
2020-01-01,,,,,,,7195.0,7768.538461538462,9500.0,8256.0,4000.0,,9432.5,
2020-02-01,,,,,,,9135.0,6971.111111111111,,,,,,
2020-04-01,,,,,,,8490.0,,,,,,,
2020-05-01,,,,,,,8266.666666666666,,,,,,,
2020-06-01,,,,,,,9161.583333333334,,,,,,,
2020-07-01,,,,,,,12244.5,,,,,,,
