dates,265 cv,400 cv,340 cv,249 cv,462 cv,530 cv
2020-04-01,91305.4109589041,113455.0,89500.41666666667,88652.05882352941,65980.0,81960.0
2020-05-01,84509.16666666667,117331.81818181818,81253.33333333333,70263.33333333333,,
2020-06-01,81092.66666666667,,62028.0,75688.0,,
