dates,187 cv,180 cv,150 cv,240 cv,149 cv,116 cv,210 cv
2019-07-01,26212.85714285714,25970.0,30500.0,20000.0,24990.0,28690.0,31910.0
2019-11-01,23079.23076923077,20490.0,21900.0,22890.0,31800.0,23990.0,
2019-12-01,23606.785714285714,24527.5,19989.0,,26490.0,31563.333333333332,
2020-01-01,21374.576923076922,24656.666666666668,26990.0,,21990.0,21990.0,
2020-02-01,,,25740.0,,19990.0,26320.0,
2020-03-01,,,23900.0,,21256.666666666668,19990.0,
2020-05-01,,,21570.0,,20208.333333333332,22990.0,
2020-06-01,,,25875.0,,23065.5,23035.75,
2020-07-01,,,,,20428.98,22313.333333333332,
