dates,306 cv,340 cv,180 cv,240 cv
2019-11-01,115618.0,51500.0,46900.0,50300.0
2020-01-01,113080.0,,63998.333333333336,
2020-02-01,,,60083.333333333336,
2020-05-01,,,61576.25,
2020-06-01,,,62838.0,
2020-07-01,,,53286.666666666664,
