dates,150 cv,190 cv,116 cv,109 cv,136 cv,184 cv,340 cv,224 cv,326 cv,177 cv,218 cv
2020-04-01,21458.815789473683,25914.603174603173,19761.970802919706,18625.93984962406,20677.333333333332,24060.714285714286,41688.75,29024.615384615383,29960.0,23925.0,27015.0
2020-05-01,22633.647058823528,24487.647058823528,18658.454545454544,17943.260869565216,21596.25,22770.0,44390.0,25400.0,33945.71428571428,23090.0,
2020-06-01,21557.777777777777,25313.846153846152,19285.454545454544,17862.758620689656,19441.666666666668,27450.0,44890.0,,,,
