dates,122 cv,140 cv,160 cv,150 cv,170 cv,105 cv,110 cv
2020-06-01,6800.0,9990.0,9740.0,9800.0,7000.0,7426.666666666667,12000.0
2020-07-01,,8630.0,,,9896.666666666666,7176.666666666667,
