dates,120 cv,125 cv,150 cv,95 cv,85 cv,100 cv,115 cv,105 cv,140 cv
2020-04-01,20107.333333333332,17925.428571428572,23760.0,8890.0,13990.0,14600.0,12990.0,10700.0,11490.0
2020-05-01,22143.333333333332,13852.0,,,11500.0,,,,
2020-06-01,14900.0,16030.0,,,,,,,
