dates,170 cv,177 cv,218 cv,286 cv,233 cv,143 cv,306 cv,258 cv,272 cv,231 cv,163 cv,197 cv,150 cv,122 cv
2020-04-01,10520.0,11886.666666666666,17305.0,15985.0,13510.0,8400.0,25925.0,12306.666666666666,13160.0,12650.0,7230.0,8360.0,7500.0,5830.0
2020-05-01,10770.0,10510.0,9900.0,14390.0,12690.0,,18800.0,12520.0,,12700.0,9003.333333333334,7400.0,,
2020-06-01,,10680.0,9000.0,,,,,,,11565.0,,,,
