dates,143 cv,136 cv,184 cv,258 cv,116 cv,340 cv,163 cv,218 cv,304 cv,306 cv,313 cv,245 cv
2020-04-01,19227.82608695652,11806.0,21910.263157894737,30266.0,16548.46153846154,50728.0,20602.0,22255.0,20220.0,25270.0,31670.0,23450.0
2020-05-01,18559.23076923077,22590.0,20366.11111111111,25610.0,14238.57142857143,52060.0,19515.0,20160.0,,31575.0,,
2020-06-01,16930.0,,23307.5,,19620.0,,16230.0,19980.0,,33550.0,,
