dates,120 cv,92 cv,68 cv,82 cv,110 cv,115 cv
2019-04-01,16490.0,16790.0,13000.0,13490.0,15940.0,15950.0
2019-05-01,15900.0,13500.0,16500.0,13490.0,16080.0,14378.333333333334
2019-10-01,,12990.0,,11590.0,15999.0,14823.333333333334
2019-12-01,,,,14990.0,16235.666666666666,
2020-01-01,,,,13490.0,15385.333333333334,
2020-06-01,,,,13593.333333333334,,
2020-07-01,,,,12990.0,,
