dates,245 cv,258 cv,326 cv,218 cv,313 cv
2020-04-01,39222.0,35640.0,58590.0,31155.0,37690.0
2020-05-01,43240.0,36562.5,55530.0,,
2020-07-01,,37840.0,,,
