dates,280 cv,210 cv,180 cv,150 cv
2019-04-01,34590.0,29900.0,32499.0,24890.0
2019-09-01,,29900.0,34990.0,29890.0
2020-02-01,,29975.0,31500.0,31990.0
2020-03-01,,30745.0,31495.0,
2020-05-01,,29567.5,30400.0,
2020-07-01,,,31990.0,
