dates,140 cv,110 cv,136 cv,100 cv,87 cv,120 cv,180 cv,115 cv,105 cv,150 cv,165 cv,160 cv
2019-11-01,10990.0,12043.333333333334,13396.666666666666,7650.0,14283.333333333334,8980.0,8490.0,7490.0,12490.0,14990.0,10890.0,8900.0
2020-01-01,14948.57142857143,14076.666666666666,12631.111111111111,6430.0,15480.0,9990.0,,,,,8990.0,
2020-02-01,8218.0,,11046.666666666666,,12490.0,7490.0,,,,,9546.666666666666,
2020-03-01,7530.0,,,,14490.0,9098.0,,,,,9096.666666666666,
2020-05-01,10495.0,,,,12043.75,,,,,,10990.0,
2020-06-01,,,,,11837.181818181818,,,,,,,
2020-07-01,,,,,14133.0,,,,,,,
