dates,124 cv,132 cv,204 cv
2019-09-01,38450.0,15990.0,35900.0
2020-01-01,17195.0,15400.0,34350.0
2020-02-01,17054.833333333332,17500.0,
2020-03-01,18342.5,14490.0,
2020-05-01,18156.666666666668,,
2020-06-01,18656.666666666668,,
2020-07-01,18150.14285714286,,
