dates,150 cv,136 cv,258 cv,184 cv,116 cv,190 cv,252 cv,313 cv,326 cv
2020-04-01,39281.63265306123,35007.142857142855,59937.5,43988.88888888889,24594.117647058825,46588.92857142857,38305.0,70555.45454545454,68626.66666666667
2020-05-01,35151.25,28260.0,60838.0,43508.0,28117.5,46778.5,43790.0,,68310.0
2020-06-01,45932.5,36616.666666666664,,,44821.666666666664,48675.71428571428,,,75147.5
