dates,143 cv,245 cv,204 cv,272 cv,177 cv,184 cv,170 cv,306 cv,163 cv,218 cv
2020-04-01,9406.153846153846,14650.0,17358.0,12910.0,13040.0,13012.0,9760.0,20320.0,10123.333333333334,16880.0
2020-05-01,9171.0,13896.666666666666,,16000.0,8760.0,15164.0,,21090.0,,12850.0
2020-06-01,6490.0,,,,9420.0,19910.0,,,,16850.0
2020-07-01,,,,,13860.0,,,,,
