dates,44 cv,103 cv,89 cv,64 cv,120 cv,130 cv,50 cv,60 cv,54 cv,80 cv,90 cv,75 cv
2019-06-01,25000.0,10900.0,600.0,600.0,14500.0,13500.0,300.0,450.0,1200.0,1325.0,1100.0,600.0
2020-05-01,2145.0,15000.0,3300.0,,,,,,,,800.0,
2020-06-01,4433.666666666667,,,,,,,,,,,
