index,marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
4645,AUDI,A3,45220,8V [restyling],Hatchback,2020,29/03/2020,ESSENCE,18047,AUTOMATIQUE,74000,10,190,<50000km
4646,AUDI,TT,43850,8S,Coupé,2020,26/05/2020,ESSENCE,2675,AUTOMATIQUE,59000,15,230,<5000km
4647,AUDI,A1,19350,8X [restyling],Hatchback,2019,29/03/2020,DIESEL,66170,MANUEL,13000,6,116,<150000km
4648,AUDI,A6,53160,4Gslashcharacter001C7 [restyling],Break,2018,29/03/2020,DIESEL,10712,AUTOMATIQUE,10000,16,272,<50000km
4649,AUDI,A3,29680,8V [restyling],Hatchback,2019,29/03/2020,DIESEL,37325,MANUEL,29000,6,115,<50000km
4650,AUDI,A7,45180,4G [restyling],Berline,2017,29/03/2020,DIESEL,110338,AUTOMATIQUE,33000,21,326,<150000km
4651,AUDI,S3,37780,8V,Hatchback,2017,29/03/2020,ESSENCE,64643,AUTOMATIQUE,59000,19,300,<150000km
4652,AUDI,A4,23420,B9,Break,2018,29/03/2020,DIESEL,102980,AUTOMATIQUE,35000,7,150,<150000km
4653,AUDI,A6,32630,4Gslashcharacter001C7 [restyling],Break,2018,07/05/2020,DIESEL,151737,AUTOMATIQUE,45000,16,272,<250000km
4654,AUDI,A8,50290,D4slashcharacter0014H [restyling],Berline,2016,29/03/2020,DIESEL,42727,AUTOMATIQUE,89000,16,258,<50000km
4655,AUDI,A7,85970,C8,Berline,2019,15/05/2020,DIESEL,25836,AUTOMATIQUE,78000,18,286,<50000km
4656,AUDI,A1,29110,8X [restyling],Hatchback,2021,29/03/2020,ESSENCE,11199,AUTOMATIQUE,68000,8,150,<50000km
4657,AUDI,A5,43470,2 génération,Coupé,2017,29/03/2020,DIESEL,36388,AUTOMATIQUE,53000,13,218,<50000km
4658,AUDI,A4,36700,B9,Break,2020,29/03/2020,ESSENCE,16200,AUTOMATIQUE,77000,8,150,<50000km
4659,AUDI,Q3,29840,8U [restyling],4x4_SUV,2019,29/03/2020,DIESEL,81789,AUTOMATIQUE,80000,8,150,<150000km
4660,AUDI,A5,49640,2 génération,Berline,2020,13/04/2020,ESSENCE,14491,AUTOMATIQUE,17000,10,190,<50000km
4661,AUDI,A1,28060,8X [restyling],Hatchback,2020,13/04/2020,ESSENCE,11583,MANUEL,62000,5,95,<50000km
4662,AUDI,A3,37490,8V [restyling],Hatchback,2020,20/04/2020,DIESEL,24818,AUTOMATIQUE,63000,8,150,<50000km
4663,AUDI,A3,31620,8V [restyling],Hatchback,2019,29/03/2020,DIESEL,41167,AUTOMATIQUE,85000,6,115,<50000km
4664,AUDI,A1,18270,8X [restyling],Hatchback,2017,25/05/2020,DIESEL,161660,AUTOMATIQUE,14000,6,116,<250000km
4665,AUDI,Q3,34950,8U [restyling],4x4_SUV,2017,29/03/2020,DIESEL,60113,AUTOMATIQUE,78000,8,150,<150000km
4666,AUDI,Q2,29310,1 génération,4x4_SUV,2018,29/03/2020,ESSENCE,12072,MANUEL,16000,6,116,<50000km
4667,AUDI,A3,43160,8V [restyling],Hatchback,2021,08/05/2020,DIESEL,9360,AUTOMATIQUE,30000,8,150,<50000km
4668,AUDI,A1,28380,2 génération,Hatchback,2020,05/05/2020,ESSENCE,32,MANUEL,12000,6,116,<5000km
4669,AUDI,Q3,24450,8U [restyling],4x4_SUV,2016,24/05/2020,ESSENCE,32480,MANUEL,17000,8,150,<50000km
4670,AUDI,A1,20970,2 génération,Hatchback,2020,21/05/2020,ESSENCE,10185,MANUEL,82000,6,116,<50000km
4671,AUDI,TT,65160,8S,Coupé,2017,29/03/2020,ESSENCE,36936,AUTOMATIQUE,69000,29,400,<50000km
4672,AUDI,Q5,54480,2 génération,4x4_SUV,2020,29/03/2020,DIESEL,10830,AUTOMATIQUE,78000,9,163,<50000km
4673,AUDI,A1,28730,8X [restyling],Hatchback,2019,10/04/2020,DIESEL,19068,AUTOMATIQUE,57000,5,90,<50000km
4674,AUDI,A3,23180,8V,Hatchback,2015,23/05/2020,DIESEL,133400,AUTOMATIQUE,6000,8,150,<150000km
4675,AUDI,A3,37820,8V [restyling],Hatchback,2020,29/03/2020,ESSENCE,5727,AUTOMATIQUE,78000,8,150,<50000km
