dates,90 cv,65 cv,125 cv,75 cv,160 cv,101 cv,103 cv,120 cv
2020-05-01,3495.0,2650.0,6990.0,2000.0,4800.0,2192.5,5500.0,5200.0
2020-06-01,4496.666666666667,1800.0,4300.0,,,,,5200.0
