dates,143 cv,184 cv,258 cv,116 cv,304 cv,163 cv,340 cv,218 cv,306 cv
2020-04-01,14726.875,17188.42105263158,19654.0,10941.666666666666,18730.0,15860.0,41190.0,27200.0,17980.0
2020-05-01,15465.714285714286,14133.333333333334,17490.0,13060.0,18590.0,,,16116.666666666666,
2020-06-01,16420.0,15650.0,,,,,,,
2020-07-01,,19980.0,,,,,,,
