dates,90 cv,109 cv,136 cv,140 cv,110 cv,88 cv
2020-04-01,4670.0,3660.0,1900.0,500.0,1880.0,2000.0
2020-06-01,3472.5,1385.5714285714287,,2200.0,,
2020-07-01,2500.0,,,,,
