dates,218 cv,109 cv,381 cv,177 cv,122 cv,156 cv,211 cv,136 cv,184 cv,150 cv
2019-05-01,59982.857142857145,85900.0,83733.23943661971,36716.57894736842,29035.0,42662.05882352941,45296.0,34846.31578947369,51067.914438502674,40957.083333333336
2020-04-01,80697.5,26282.666666666668,82817.24137931035,36370.0,28811.666666666668,36876.333333333336,44404.28571428572,34848.92857142857,48792.65517241379,37847.77777777778
2020-05-01,48183.63636363636,25523.44827586207,73119.81481481482,35885.757575757576,28278.076923076922,38657.02702702703,47572.72727272727,31869.756097560974,49100.793650793654,39945.833333333336
2020-06-01,48122.63157894737,25113.88888888889,56313.333333333336,36922.666666666664,28106.0,31610.0,37405.0,31804.615384615383,48660.0,
2020-07-01,,25825.151515151516,,,,,44270.0,,,
