dates,155 cv,144 cv,192 cv,250 cv,140 cv,165 cv,150 cv,105 cv,110 cv,136 cv,120 cv,115 cv,175 cv
2020-05-01,775.0,500.0,3500.0,12600.0,1150.0,2990.0,2226.6666666666665,2900.0,2900.0,2800.0,3400.0,1493.3333333333333,3500.0
2020-06-01,,,,10300.0,1608.0,2500.0,2096.3333333333335,877.5,2850.0,,1463.3333333333333,1150.0,
2020-07-01,,,,,2400.0,,3720.0,1208.3333333333333,,,1747.5,,
