dates,190 cv,252 cv,184 cv,340 cv,462 cv,265 cv,400 cv,320 cv
2019-12-01,34490.0,54755.71428571428,47630.0,61240.0,117526.66666666667,62537.555555555555,74892.5,88810.0
2020-04-01,50071.333333333336,55166.086956521736,48940.0,55836.666666666664,97587.5,52700.0,66270.0,71686.66666666667
2020-05-01,50103.023255813954,58950.0,,60960.0,,58310.0,73716.66666666667,
2020-06-01,52356.666666666664,56293.333333333336,,62030.0,,50320.0,72430.0,
2020-07-01,49058.0,,,,,,,
