dates,160 cv,130 cv,95 cv,115 cv,110 cv
2018-12-01,25673.0,23135.0,20600.0,18490.0,23831.666666666668
2019-07-01,25514.0,22920.0,24953.333333333332,27587.745098039217,23090.0
2019-10-01,29340.477777777778,22800.0,24823.25,26389.41176470588,22770.0
2019-12-01,29369.0,27425.942857142858,22880.0,21250.0,
2020-01-01,29491.25,25878.72,22181.0,,
2020-02-01,31175.0,24250.454545454544,27082.0,,
2020-04-01,,24828.85714285714,26147.875,,
2020-05-01,,23836.0,24326.428571428572,,
2020-06-01,,,26683.866666666665,,
2020-07-01,,,22870.0,,
