dates,150 cv,100 cv,142 cv,205 cv,93 cv,140 cv,91 cv,120 cv
2020-01-01,10978.57142857143,11497.0,12592.0,25000.0,7290.0,8990.0,13990.0,10900.0
2020-02-01,11567.142857142857,10300.0,11325.0,,12745.0,11490.0,10194.5,14450.0
2020-03-01,10095.823529411764,10232.0,,,,,11990.0,9990.0
2020-05-01,,10132.5,,,,,13390.0,10453.333333333334
2020-06-01,,,,,,,10597.5,11050.625
2020-07-01,,,,,,,10836.0,
