dates,272 cv,177 cv,258 cv,190 cv,230 cv,150 cv,211 cv
2020-03-01,53343.333333333336,29905.0,52897.5,34480.0,42360.0,31683.333333333332,27480.0
2020-04-01,40550.0,,52780.0,,,36280.0,
2020-05-01,42405.0,,40310.0,,,33135.0,
