dates,258 cv,313 cv,340 cv,259 cv,327 cv,190 cv,163 cv,143 cv,326 cv,150 cv,239 cv,245 cv,286 cv,177 cv,170 cv,354 cv,180 cv,224 cv,211 cv,230 cv
2020-03-01,36150.0,41448.23529411765,49422.666666666664,39840.0,44567.5,35180.0,35070.0,20980.0,45430.833333333336,27223.333333333332,30980.0,28658.0,57390.0,23280.0,23780.0,65425.0,25090.0,34925.0,31090.0,35080.0
2020-04-01,39096.666666666664,44083.333333333336,47950.0,35077.5,43553.333333333336,33152.5,,20190.0,52210.0,27123.333333333332,,28352.5,61340.0,28765.0,19680.0,67216.66666666667,,30980.0,,
2020-05-01,30310.0,40081.333333333336,50318.57142857143,,44644.28571428572,34781.290322580644,,,42143.333333333336,24469.090909090908,,32146.0,58528.0,26108.333333333332,,,,,,
