dates,140 cv,110 cv,136 cv,152 cv
2019-01-01,15960.0,14590.0,19990.0,16895.0
2019-03-01,15485.0,16980.0,19290.0,
2019-07-01,15260.0,16220.0,20020.5,
2019-08-01,14490.0,16880.0,19490.0,
2019-09-01,17990.0,17120.0,17948.571428571428,
2019-10-01,19405.714285714286,15945.0,20388.39285714286,
2019-11-01,16721.27659574468,18017.5,19873.6,
2019-12-01,16237.173076923076,15990.0,,
2020-02-01,16956.5,16655.0,,
2020-03-01,,18945.0,,
2020-04-01,,15308.0,,
2020-05-01,,16928.333333333332,,
2020-06-01,,16886.20512820513,,
2020-07-01,,17318.571428571428,,
