dates,190 cv,150 cv,272 cv,249 cv,122 cv,170 cv,218 cv,252 cv
2019-10-01,41545.0,24990.0,43166.0,27810.0,32310.0,43574.28571428572,52516.666666666664,40934.0
2019-11-01,38900.0,31990.0,38850.0,,37220.0,51322.72727272727,47900.0,39393.333333333336
2020-03-01,46706.333333333336,36519.10256410256,54370.0,,37410.0,46103.333333333336,41547.5,
2020-04-01,47573.10344827586,38526.470588235294,,,37656.666666666664,57555.0,,
2020-05-01,42827.0,35668.4126984127,,,,,,
2020-06-01,29300.0,38785.96875,,,,,,
2020-07-01,47703.333333333336,36081.230769230766,,,,,,
