dates,125 cv,110 cv,145 cv,90 cv,100 cv,115 cv,130 cv,155 cv,140 cv
2020-05-01,1647.5,2500.0,2480.0,1271.6666666666667,2000.0,2000.0,1.0,2500.0,4950.0
2020-06-01,,,,2366.6666666666665,,2032.0,1816.6666666666667,,
2020-07-01,,,,1990.0,,2200.0,2347.5,,
