dates,101 cv,110 cv,120 cv,130 cv,95 cv,140 cv,100 cv,136 cv,75 cv
2019-10-01,8515.0,8990.0,6990.0,6845.0,6990.0,7745.0,7290.0,8990.0,7800.0
2019-11-01,8690.0,7445.0,7990.0,8400.0,7900.0,,6291.727272727273,,5690.0
2020-02-01,,6265.714285714285,6493.333333333333,,7455.0,,7536.0,,
2020-03-01,,6689.375,7630.0,,3500.0,,,,
2020-05-01,,,7626.333333333333,,6276.0,,,,
2020-06-01,,,,,6779.285714285715,,,,
2020-07-01,,,,,8990.0,,,,
