dates,150 cv,180 cv,120 cv,165 cv,140 cv,136 cv,204 cv
2018-11-01,22224.833333333332,14990.0,14390.0,17990.0,9900.0,15490.0,15995.0
2019-02-01,15501.357142857143,17790.0,13000.0,16370.0,10420.0,,13500.0
2019-06-01,16343.631578947368,16870.0,17890.0,16535.0,,,
2019-11-01,15080.0,11751.8,20640.0,15074.444444444445,,,
2019-12-01,,19519.622641509435,15490.0,14291.285714285714,,,
2020-02-01,,19136.428571428572,15541.0,,,,
2020-03-01,,,14662.8,,,,
2020-04-01,,,13852.5,,,,
2020-05-01,,,14308.241379310344,,,,
2020-06-01,,,15528.058823529413,,,,
2020-07-01,,,15979.09090909091,,,,
