marque,modele,version,prix,annee,date,motor,kilometrage,boite de vitesse,code postal,etat
Porsche,911,,38900,2003,29/10/2019,Essence,128000,Manuelle,33127,<150000km
Porsche,911,,49900,2005,29/10/2019,Essence,58500,Manuelle,33127,<150000km
Porsche,911,,72500,2006,01/10/2019,Essence,79550,Manuelle,33127,<150000km
Porsche,911,,39000,1981,07/04/2020,Essence,137000,Manuelle,28210,<150000km
Porsche,911,,42990,2007,07/04/2020,Essence,81825,Automatique,45560,<150000km
Porsche,911,,49990,2006,17/12/2019,Essence,59890,Manuelle,6800,<150000km
Porsche,911,,47990,2006,28/02/2020,Essence,115000,Automatique,40130,<150000km
Porsche,911,,55990,2007,19/03/2020,Essence,114000,Manuelle,40130,<150000km
Porsche,Boxster,,19990,2003,16/02/2020,Essence,98000,Manuelle,40130,<150000km
Porsche,911,,26990,1998,08/02/2020,Essence,122000,Manuelle,40130,<150000km
Porsche,Cayenne,,22000,2008,07/04/2020,Essence,150000,Automatique,78340,<250000km
Porsche,911,,34990,2002,08/08/2019,Essence,125450,Manuelle,30900,<150000km
Porsche,Boxster,,15000,2004,07/04/2020,Essence,130000,Manuelle,6400,<150000km
Porsche,911,,65990,2005,03/07/2019,Essence,138250,Manuelle,49170,<150000km
Porsche,911,,29990,2000,29/07/2019,Essence,110608,Manuelle,30900,<150000km
Porsche,911,,28500,2002,07/04/2020,Essence,109350,Manuelle,33450,<150000km
Porsche,Cayman,,28990,2007,17/12/2019,Essence,44175,Manuelle,45370,<50000km
Porsche,Boxster,,13500,1998,06/04/2020,Essence,80000,Manuelle,74150,<150000km
Porsche,911,,36911,1976,06/04/2020,Essence,118000,Manuelle,67660,<150000km
Porsche,Cayenne,,15980,2005,06/04/2020,Essence,139800,Automatique,49570,<150000km
Porsche,Cayman,,23990,2006,06/04/2020,Essence,76000,Manuelle,31790,<150000km
Porsche,924,,5500,1979,06/04/2020,Essence,130000,Manuelle,42000,<150000km
Porsche,Boxster,,23490,2008,06/04/2020,Essence,85500,Manuelle,62840,<150000km
Porsche,Cayman,,41900,2010,01/03/2020,Essence,57500,Automatique,3100,<150000km
Porsche,911,,45900,2005,29/03/2020,Essence,72000,Manuelle,75015,<150000km
Porsche,911,,56900,2000,06/04/2020,Essence,82000,Manuelle,38290,<150000km
Porsche,Cayman,,24890,2006,03/02/2020,Essence,75000,Manuelle,83130,<150000km
Porsche,Boxster,,27490,2006,19/02/2020,Essence,59000,Manuelle,75011,<150000km
Porsche,911,,74900,2007,06/04/2020,Essence,86000,Automatique,83830,<150000km
Porsche,911,,61000,2009,06/04/2020,Essence,58000,Automatique,92000,<150000km
Porsche,911,,44990,2006,22/01/2020,Essence,81089,Manuelle,31880,<150000km
Porsche,Boxster,,12990,1997,17/02/2020,Essence,145000,Automatique,33320,<150000km
Porsche,911,,25990,2000,22/02/2020,Essence,146500,Automatique,33320,<150000km
Porsche,911,,25990,1999,11/02/2020,Essence,151000,Manuelle,33320,<250000km
Porsche,911,,139000,2008,14/08/2019,Essence,43441,Manuelle,33700,<50000km
Porsche,911,,54900,2008,06/04/2020,Essence,65500,Automatique,66750,<150000km
Porsche,Boxster,,30490,2010,06/04/2020,Essence,82500,Automatique,62840,<150000km
Porsche,Cayenne,,7990,2005,06/04/2020,Essence,177200,Manuelle,69230,<250000km
Porsche,911,,26000,1999,06/04/2020,Essence,142000,Manuelle,16400,<150000km
Porsche,911,,39990,2005,03/09/2019,Essence,131000,Manuelle,75013,<150000km
Porsche,911,,120000,1997,31/03/2020,Essence,132000,Manuelle,75014,<150000km
Porsche,911,,39990,2002,24/03/2020,Essence,112512,Automatique,28630,<150000km
Porsche,911,,73990,2007,29/02/2020,Essence,66883,Manuelle,28630,<150000km
Porsche,924,,15300,1985,11/03/2020,Essence,104741,Manuelle,28630,<150000km
Porsche,Boxster,,16900,2001,06/04/2020,Essence,165000,Manuelle,31000,<250000km
Porsche,Boxster,,12490,1997,16/01/2020,Essence,135000,Automatique,56250,<150000km
Porsche,Panamera,,37000,2010,06/04/2020,Essence,96200,Automatique,13200,<150000km
Porsche,Autres,,10990,1975,06/04/2020,Essence,55000,Manuelle,26700,<150000km
Porsche,911,,33000,2002,06/04/2020,Essence,163000,Manuelle,29170,<250000km
Porsche,911,,24500,2000,06/04/2020,Essence,162000,Manuelle,16400,<250000km
Porsche,911,,69000,2009,06/04/2020,Essence,108600,Automatique,35000,<150000km
Porsche,911,,30000,2002,06/04/2020,Essence,155000,Manuelle,72000,<250000km
Porsche,Cayman,,29990,2006,27/11/2019,Essence,122000,Manuelle,68700,<150000km
Porsche,911,,59900,1995,23/04/2019,Essence,174750,Automatique,75015,<250000km
Porsche,944,,25000,1991,06/04/2020,Essence,123000,Manuelle,31840,<150000km
Porsche,Cayenne,,16500,2004,06/04/2020,Essence,179000,Automatique,55000,<250000km
Porsche,911,,50990,1984,06/04/2020,Essence,170000,Manuelle,79000,<250000km
Porsche,911,,50000,2001,16/02/2020,Essence,134500,Automatique,76200,<150000km
Porsche,Cayenne,,23900,2007,06/03/2020,Essence,49000,Automatique,38760,<50000km
Porsche,911,,68000,2010,06/04/2020,Essence,70000,Manuelle,59000,<150000km
Porsche,Cayenne,,13490,2005,13/02/2020,Essence,149990,Automatique,6800,<150000km
Porsche,911,,260000,1993,06/04/2020,Essence,6870,Manuelle,80136,<50000km
Porsche,Cayenne,,13000,2005,06/04/2020,Essence,103000,Manuelle,17100,<150000km
Porsche,Autres,,85000,1999,19/06/2017,Essence,74000,Manuelle,81600,<150000km
Porsche,911,,46970,1978,06/04/2020,Essence,158084,Manuelle,45000,<250000km
Porsche,Cayenne,,17500,2007,06/04/2020,Essence,175000,Automatique,40180,<250000km
Porsche,911,,67997,2006,26/02/2020,Essence,78000,Automatique,57000,<150000km
Porsche,911,,42960,1983,06/04/2020,Essence,248777,Manuelle,45000,<250000km
Porsche,Cayenne,,13990,2005,30/01/2020,Essence,149100,Automatique,91830,<150000km
Porsche,911,,36630,1978,06/04/2020,Essence,276870,Manuelle,45000,+250000km
Porsche,911,,33500,1974,06/04/2020,Essence,1,Manuelle,45000,<5000km
Porsche,Cayenne,,17990,2008,04/02/2020,Essence,121000,Automatique,88130,<150000km
Porsche,911,,40770,1981,06/04/2020,Essence,201388,Manuelle,45000,<250000km
Porsche,911,,95000,2010,06/04/2020,Essence,54000,Automatique,16400,<150000km
Porsche,911,,42950,1986,06/04/2020,Essence,165830,Manuelle,45000,<250000km
Porsche,911,,49500,2007,06/04/2020,Essence,133100,Automatique,97410,<150000km
Porsche,Cayenne,,15900,2008,16/10/2019,Essence,126391,Manuelle,34740,<150000km
Porsche,911,,30990,2003,18/09/2019,Essence,82000,Manuelle,25400,<150000km
Porsche,911,,64900,1989,04/12/2019,Essence,116000,Manuelle,6110,<150000km
Porsche,Cayman,,34990,2005,24/08/2019,Essence,63000,Manuelle,67600,<150000km
Porsche,911,,33500,1973,06/04/2020,Essence,1,Manuelle,45000,<5000km
Porsche,911,,41500,1983,06/04/2020,Essence,148281,Manuelle,45000,<150000km
Porsche,Boxster,,33790,2009,06/04/2020,Essence,74700,Manuelle,62840,<150000km
Porsche,911,,38090,1978,06/04/2020,Essence,111640,Manuelle,45000,<150000km
Porsche,911,,49900,1982,20/06/2019,Essence,204900,Manuelle,75017,<250000km
Porsche,Cayman,,25990,2007,16/12/2019,Essence,124824,Manuelle,44210,<150000km
Porsche,911,,38980,1979,31/12/2019,Essence,1,Manuelle,45000,<5000km
Porsche,Cayenne,,10000,2006,06/04/2020,Essence,182000,Manuelle,83000,<250000km
Porsche,Cayman,,26990,2006,29/11/2019,Essence,112000,Manuelle,64600,<150000km
Porsche,911,,51500,2001,04/03/2020,Essence,69300,Automatique,63320,<150000km
Porsche,Cayman,,24989,2008,11/03/2020,Essence,113000,Manuelle,84000,<150000km
Porsche,Cayman,,31000,2007,05/04/2020,Essence,68000,Manuelle,13009,<150000km
Porsche,911,,85900,1970,09/02/2020,Essence,2500,Manuelle,83500,<5000km
Porsche,Boxster,,26990,2006,04/09/2019,Essence,63000,Manuelle,67540,<150000km
Porsche,911,,57993,1995,18/02/2020,Essence,108118,Manuelle,6800,<150000km
Porsche,911,,57500,1977,03/10/2018,Essence,224000,Manuelle,29200,<250000km
Porsche,Autres,,29900,1971,05/04/2020,Essence,130000,Manuelle,33450,<150000km
Porsche,911,,31900,2002,05/04/2020,Essence,107000,Manuelle,72000,<150000km
Porsche,911,,63000,1977,17/12/2019,Essence,142600,Manuelle,29200,<150000km
Porsche,Panamera,,34490,2009,20/08/2019,Essence,113735,Automatique,67540,<150000km
Porsche,911,,24000,2000,05/04/2020,Essence,138000,Automatique,44600,<150000km
Porsche,911,,52900,1992,31/01/2020,Essence,176860,Manuelle,78620,<250000km
Porsche,911,,55000,1974,04/07/2018,Essence,185000,Manuelle,29200,<250000km
Porsche,911,,37900,2004,26/07/2019,Essence,140500,Automatique,69400,<150000km
Porsche,911,,46900,2007,06/02/2020,Essence,89400,Automatique,29000,<150000km
Porsche,911,,49990,2007,10/01/2020,Essence,49900,Manuelle,83120,<50000km
Porsche,911,,65718,2009,05/04/2020,Essence,72000,Automatique,84400,<150000km
Porsche,911,,58800,2008,09/02/2020,Essence,98212,Manuelle,66000,<150000km
Porsche,911,,48990,1991,02/10/2019,Essence,162896,Manuelle,71000,<250000km
Porsche,911,,33996,2004,07/02/2020,Essence,120250,Manuelle,6800,<150000km
Porsche,Cayenne,,25990,2010,06/12/2019,Hybride,164000,Automatique,33127,<250000km
Porsche,911,,129000,1970,05/04/2020,Essence,10,Automatique,13100,<5000km
Porsche,Cayenne,,10000,2005,05/04/2020,Essence,167,Automatique,17200,<5000km
Porsche,968,,33900,1992,05/04/2020,Essence,78000,Automatique,13100,<150000km
Porsche,911,,49989,2003,11/03/2020,Essence,127000,Automatique,84000,<150000km
Porsche,911,,44990,1990,04/11/2019,Essence,159000,Automatique,53940,<250000km
Porsche,Cayenne,,16990,2007,05/04/2020,Essence,120000,Automatique,59300,<150000km
Porsche,Cayman,,40990,2009,13/03/2020,Essence,45500,Automatique,71000,<50000km
Porsche,911,,37000,2005,05/04/2020,Essence,42000,Manuelle,58000,<50000km
Porsche,Boxster,,10000,2001,05/04/2020,Essence,164000,Manuelle,26220,<250000km
Porsche,Cayman,,29900,2006,05/04/2020,Essence,94500,Manuelle,87000,<150000km
Porsche,Autres,,23000,2000,05/04/2020,Essence,80000,Manuelle,13009,<150000km
Porsche,Cayman,,30990,2009,30/08/2019,Essence,97000,Manuelle,67520,<150000km
Porsche,Boxster,,31990,2010,02/08/2018,Essence,68481,Manuelle,67500,<150000km
Porsche,Boxster,,19900,2001,05/04/2020,Essence,95000,Manuelle,1000,<150000km
Porsche,Panamera,,43000,2010,05/04/2020,Essence,98000,Automatique,25300,<150000km
Porsche,911,,65000,2009,05/04/2020,Essence,65000,Manuelle,45000,<150000km
Porsche,Boxster,,37990,2010,03/08/2018,Essence,84553,Automatique,67500,<150000km
Porsche,911,,56900,1995,31/07/2018,Essence,158448,Manuelle,26200,<250000km
Porsche,Cayenne,,14000,2004,05/04/2020,Essence,125000,Automatique,93130,<150000km
Porsche,911,,82500,2006,01/03/2020,Essence,76900,Manuelle,34230,<150000km
Porsche,911,,67990,2006,01/06/2019,Essence,63500,Manuelle,72190,<150000km
Porsche,Panamera,,35000,2010,05/04/2020,Essence,118000,Automatique,85100,<150000km
Porsche,911,,33996,2003,05/04/2020,Essence,94500,Manuelle,21000,<150000km
Porsche,Boxster,,24490,2006,05/04/2020,Essence,59000,Manuelle,45560,<150000km
Porsche,944,,6000,1984,05/04/2020,Essence,168000,Manuelle,33640,<250000km
Porsche,911,,34990,2002,05/04/2020,Essence,114000,Automatique,45560,<150000km
Porsche,911,,54000,2009,05/04/2020,Essence,73000,Manuelle,13170,<150000km
Porsche,Cayenne,,16900,2009,04/12/2019,Diesel,162350,Automatique,71000,<250000km
Porsche,Boxster,,9900,1997,05/04/2020,Essence,143000,Manuelle,6130,<150000km
Porsche,911,,42990,2004,11/02/2020,Essence,119000,Automatique,40130,<150000km
Porsche,Cayenne,,15990,2006,26/01/2020,Essence,92000,Automatique,40130,<150000km
Porsche,Cayman,,35900,2009,05/04/2020,Essence,74589,Manuelle,1380,<150000km
Porsche,911,,58997,2007,09/03/2020,Essence,91000,Manuelle,1390,<150000km
Porsche,Autres,,26000,1970,05/04/2020,Essence,92800,Manuelle,7700,<150000km
Porsche,911,,37900,2007,21/02/2020,Essence,156500,Manuelle,27230,<250000km
Porsche,911,,51000,2003,19/07/2019,Essence,106300,Manuelle,14120,<150000km
Porsche,Cayenne,,8000,2004,05/04/2020,Essence,195000,Automatique,94230,<250000km
Porsche,944,,14900,1989,04/04/2020,Essence,151600,Manuelle,26790,<250000km
Porsche,Cayenne,,10000,2004,04/04/2020,Essence,245000,Manuelle,76360,<250000km
Porsche,Cayenne,,14000,2008,04/04/2020,Essence,220000,Automatique,51100,<250000km
Porsche,Cayenne,,26599,2010,04/04/2020,Diesel,150000,Automatique,27340,<250000km
Porsche,Cayenne,,22000,2006,04/04/2020,Essence,193500,Automatique,42400,<250000km
Porsche,911,,28000,1999,04/04/2020,Essence,158000,Automatique,42000,<250000km
Porsche,911,,23990,2000,26/01/2020,Essence,129000,Automatique,40130,<150000km
Porsche,Boxster,,17980,2003,26/10/2017,Essence,139785,Manuelle,33410,<150000km
Porsche,911,,58900,2009,08/02/2020,Essence,99000,Automatique,59000,<150000km
Porsche,911,,62500,2007,08/02/2020,Essence,125000,Automatique,59000,<150000km
Porsche,911,,49900,2005,22/06/2019,Essence,39500,Automatique,59910,<50000km
Porsche,Panamera,,45990,2010,17/01/2020,Essence,72551,Automatique,83120,<150000km
Porsche,Boxster,,23000,2005,17/03/2020,Essence,58000,Automatique,74100,<150000km
Porsche,911,,44000,1978,04/04/2020,Essence,118000,Manuelle,13100,<150000km
Porsche,911,,159900,1973,11/03/2019,Essence,44500,Manuelle,75015,<50000km
Porsche,Autres,,43400,1967,04/04/2020,Essence,69134,Manuelle,6100,<150000km
Porsche,924,,16990,1981,13/11/2019,Essence,192900,Manuelle,68000,<250000km
Porsche,911,,94900,1984,15/10/2019,Essence,109000,Manuelle,75017,<150000km
Porsche,Cayenne,,12000,2006,04/04/2020,Essence,150000,Automatique,38150,<250000km
Porsche,911,,25990,2000,03/03/2020,Essence,134300,Manuelle,6270,<150000km
Porsche,911,,68000,2009,04/04/2020,Essence,54000,Automatique,24110,<150000km
Porsche,Boxster,,19000,2005,04/04/2020,Essence,158000,Manuelle,83150,<250000km
Porsche,911,,129900,2007,08/03/2019,Essence,51900,Manuelle,75015,<150000km
Porsche,Panamera,,54700,2010,04/04/2020,Essence,11700,Automatique,75014,<50000km
Porsche,911,,165000,2008,06/03/2020,Essence,19500,Manuelle,57330,<50000km
Porsche,911,,129000,2001,01/05/2019,Essence,55700,Manuelle,75017,<150000km
Porsche,Cayman,,45000,2009,08/02/2020,Essence,45213,Automatique,6560,<50000km
Porsche,Cayenne,,14000,2005,04/04/2020,Essence,166000,Automatique,2000,<250000km
Porsche,911,,63900,2009,04/04/2020,Essence,69100,Manuelle,83270,<150000km
Porsche,Boxster,,13500,2003,04/04/2020,Essence,218000,Manuelle,57155,<250000km
Porsche,911,,27900,2001,04/04/2020,Essence,113000,Automatique,1800,<150000km
Porsche,Panamera,,27500,2009,20/02/2020,Essence,165000,Automatique,28000,<250000km
Porsche,Cayenne,,39800,2010,08/02/2020,Hybride,89900,Automatique,49070,<150000km
Porsche,911,,79900,1991,12/03/2020,Essence,87000,Manuelle,74800,<150000km
Porsche,911,,52900,2006,10/03/2020,Essence,66000,Automatique,74800,<150000km
Porsche,Boxster,,26900,2006,08/02/2020,Essence,53000,Manuelle,74800,<150000km
Porsche,911,,56900,2006,11/03/2020,Essence,161000,Automatique,74800,<250000km
Porsche,Boxster,,9860,2002,26/01/2020,Essence,130500,Automatique,31000,<150000km
Porsche,911,,49890,2007,23/01/2020,Essence,103900,Manuelle,38100,<150000km
Porsche,911,,47990,2004,03/03/2020,Essence,86500,Manuelle,6210,<150000km
Porsche,Cayenne,,29490,2009,04/04/2020,Essence,122500,Automatique,45560,<150000km
Porsche,Boxster,,20900,2005,02/10/2019,Essence,38500,Manuelle,59190,<50000km
Porsche,911,,44800,1980,11/12/2019,Essence,190000,Manuelle,59223,<250000km
Porsche,911,,55000,2006,04/04/2020,Essence,59600,Manuelle,20000,<150000km
Porsche,Cayenne,,18300,2009,08/02/2020,Diesel,194700,Automatique,64100,<250000km
Porsche,944,,24900,1987,04/04/2020,Essence,156000,Manuelle,31000,<250000km
Porsche,911,,36990,2004,04/04/2020,Essence,149000,Automatique,1500,<150000km
Porsche,Panamera,,45000,2010,04/04/2020,Essence,52000,Automatique,59830,<150000km
Porsche,Cayenne,,12900,2007,04/04/2020,Essence,186000,Manuelle,54530,<250000km
Porsche,911,,72000,1994,03/02/2020,Essence,30000,Manuelle,25600,<50000km
Porsche,Boxster,,31990,2008,02/03/2020,Essence,68990,Manuelle,33320,<150000km
Porsche,Cayenne,,15000,2007,04/04/2020,Essence,139000,Automatique,6270,<150000km
Porsche,911,,124911,2008,17/11/2019,Essence,35104,Manuelle,83120,<50000km
Porsche,911,,44900,1984,13/03/2020,Essence,174000,Manuelle,26400,<250000km
Porsche,911,,84900,1966,13/03/2020,Essence,114500,Manuelle,26400,<150000km
Porsche,Autres,,115000,1960,21/02/2020,Essence,356,Manuelle,26400,<5000km
Porsche,911,,29990,2002,06/02/2020,Essence,95150,Manuelle,38760,<150000km
Porsche,Boxster,,13990,1998,04/04/2020,Essence,128800,Manuelle,24100,<150000km
Porsche,911,,99990,2005,09/09/2019,Essence,86300,Manuelle,44880,<150000km
Porsche,911,,35900,1981,10/03/2020,Essence,11111,Manuelle,33470,<50000km
Porsche,911,,54990,2008,18/02/2020,Essence,73000,Manuelle,67230,<150000km
Porsche,Cayenne,,14000,2006,04/04/2020,Essence,115200,Automatique,42320,<150000km
Porsche,Panamera,,37990,2010,08/02/2020,Essence,122000,Automatique,66250,<150000km
Porsche,911,,38000,1999,24/08/2019,Essence,128000,Manuelle,81600,<150000km
Porsche,911,,25990,1999,17/12/2019,Essence,112000,Automatique,85300,<150000km
Porsche,911,,35000,2002,04/04/2020,Essence,4000,Automatique,92100,<5000km
Porsche,928,,34900,1982,02/03/2020,Essence,81500,Automatique,93320,<150000km
Porsche,911,,70990,2006,05/02/2020,Essence,74600,Manuelle,6360,<150000km
Porsche,Boxster,,49987,2008,24/03/2020,Essence,110000,Manuelle,59460,<150000km
Porsche,911,,25996,2000,03/04/2020,Essence,132000,Manuelle,59460,<150000km
Porsche,Cayenne,,22990,2008,15/02/2020,Essence,123000,Automatique,11100,<150000km
Porsche,911,,29990,1999,03/04/2020,Essence,59500,Manuelle,69270,<150000km
Porsche,911,,57000,1988,12/04/2019,Essence,143000,Manuelle,26200,<150000km
Porsche,Boxster,,22000,2002,03/04/2020,Essence,166000,Manuelle,77144,<250000km
Porsche,Boxster,,40000,2010,07/02/2020,Essence,40000,Manuelle,1800,<50000km
Porsche,911,,52990,1994,03/04/2020,Essence,94250,Manuelle,6510,<150000km
Porsche,Boxster,,23700,2005,03/04/2020,Essence,135600,Manuelle,57600,<150000km
Porsche,911,,67990,2007,19/03/2020,Essence,57000,Manuelle,6270,<150000km
Porsche,911,,46900,2003,05/02/2020,Essence,68000,Manuelle,59270,<150000km
Porsche,Autres,,120000,2005,19/06/2017,Essence,62000,Manuelle,81600,<150000km
Porsche,911,,58997,2008,11/12/2019,Essence,71000,Automatique,68390,<150000km
Porsche,Panamera,,39990,2010,18/10/2019,Essence,92000,Automatique,68390,<150000km
Porsche,911,,126000,1997,17/12/2018,Essence,100000,Manuelle,68390,<150000km
Porsche,911,,48000,1984,07/02/2020,Essence,199396,Manuelle,47240,<250000km
Porsche,911,,42900,2007,03/04/2020,Essence,89000,Automatique,6300,<150000km
Porsche,Cayman,,29850,2006,14/03/2020,Essence,22727,Manuelle,37390,<50000km
Porsche,911,,31996,2002,03/04/2020,Essence,153000,Manuelle,40100,<250000km
Porsche,Boxster,,20900,2004,07/02/2020,Essence,103900,Manuelle,12160,<150000km
Porsche,Cayenne,,14990,2008,21/02/2020,Essence,150000,Automatique,30000,<250000km
Porsche,Boxster,,16500,2000,03/04/2020,Essence,119000,Manuelle,80460,<150000km
Porsche,911,,54900,2009,05/03/2020,Essence,127000,Manuelle,57000,<150000km
Porsche,911,,57000,2003,06/03/2020,Essence,75000,Manuelle,31000,<150000km
Porsche,Boxster,,32990,2009,26/02/2020,Essence,78000,Automatique,13510,<150000km
Porsche,Cayenne,,14990,2009,03/04/2020,Diesel,199000,Automatique,81000,<250000km
Porsche,911,,46900,2007,27/02/2020,Essence,125280,Manuelle,63100,<150000km
Porsche,Cayenne,,12000,2004,03/04/2020,Autre,200000,Automatique,47400,<250000km
Porsche,Cayman,,27900,2007,03/04/2020,Essence,77206,Manuelle,83490,<150000km
Porsche,Boxster,,35990,2009,26/03/2020,Essence,66000,Automatique,35000,<150000km
Porsche,911,,36000,1999,03/04/2020,Essence,77000,Automatique,37000,<150000km
Porsche,911,,69900,2007,12/03/2020,Essence,84900,Manuelle,10120,<150000km
Porsche,911,,46990,2005,11/12/2019,Essence,97208,Manuelle,83520,<150000km
Porsche,911,,72990,2009,03/04/2020,Essence,47350,Automatique,75015,<50000km
Porsche,911,,58000,2008,03/04/2020,Essence,75000,Manuelle,57000,<150000km
Porsche,Cayman,,34990,2008,03/04/2020,Essence,113150,Manuelle,6200,<150000km
Porsche,911,,36000,2002,03/04/2020,Essence,136622,Manuelle,93340,<150000km
Porsche,911,,51490,2006,22/08/2019,Essence,57132,Manuelle,6150,<150000km
Porsche,911,,24996,2001,03/04/2020,Essence,115000,Automatique,33000,<150000km
Porsche,911,,30900,1999,03/02/2020,Essence,174532,Manuelle,66180,<250000km
Porsche,Cayenne,,20000,2006,03/04/2020,Essence,150000,Automatique,69220,<250000km
Porsche,911,,31500,2002,03/04/2020,Essence,173900,Automatique,57500,<250000km
Porsche,911,,12500,1996,02/04/2020,Essence,67000,Manuelle,59960,<150000km
Porsche,911,,49997,2006,02/04/2020,Essence,72900,Manuelle,33127,<150000km
Porsche,911,,51900,2002,03/02/2020,Essence,116000,Manuelle,44000,<150000km
Porsche,Boxster,,31200,2008,02/04/2020,Essence,37700,Manuelle,38680,<50000km
Porsche,Panamera,,45900,2010,12/10/2019,Essence,78900,Automatique,67670,<150000km
Porsche,Boxster,,11000,1997,02/04/2020,Essence,164000,Manuelle,33720,<250000km
Porsche,911,,97000,2010,02/04/2020,Essence,72600,Automatique,34000,<150000km
Porsche,924,,7500,1981,02/04/2020,Essence,47000,Manuelle,62231,<50000km
Porsche,Boxster,,29900,2007,04/02/2020,Essence,73900,Manuelle,67550,<150000km
Porsche,Boxster,,31900,2010,29/01/2020,Essence,76900,Automatique,67550,<150000km
Porsche,911,,63900,2004,24/01/2020,Essence,51350,Automatique,67550,<150000km
Porsche,Cayenne,,17500,2009,02/04/2020,Diesel,184000,Automatique,92160,<250000km
Porsche,911,,41800,2005,02/04/2020,Essence,91800,Manuelle,78570,<150000km
Porsche,911,,25996,1998,22/02/2020,Essence,113500,Automatique,54136,<150000km
Porsche,Cayenne,,25990,2009,18/02/2020,Essence,109900,Automatique,54136,<150000km
Porsche,911,,26987,2008,14/02/2020,Essence,78000,Manuelle,54136,<150000km
Porsche,Cayenne,,8800,2006,02/04/2020,Essence,169000,Automatique,83600,<250000km
Porsche,Cayenne,,12500,2007,02/04/2020,Essence,167000,Automatique,54260,<250000km
Porsche,911,,31890,2003,02/04/2020,Essence,91900,Manuelle,1000,<150000km
Porsche,911,,49000,1983,02/04/2020,Essence,190000,Manuelle,76930,<250000km
Porsche,928,,23000,1986,02/04/2020,Essence,139000,Manuelle,17000,<150000km
Porsche,911,,56990,2008,10/12/2019,Essence,86331,Automatique,45370,<150000km
Porsche,911,,79990,2007,12/02/2020,Essence,55000,Manuelle,66600,<150000km
Porsche,911,,54900,1995,06/02/2020,Essence,125000,Automatique,69003,<150000km
Porsche,911,,84900,1997,11/10/2019,Essence,58600,Manuelle,6110,<150000km
Porsche,911,,65900,2010,20/08/2019,Essence,68300,Manuelle,54280,<150000km
Porsche,911,,62990,1993,02/04/2020,Essence,173500,Automatique,33240,<250000km
Porsche,Cayman,,30500,2005,02/04/2020,Essence,66500,Automatique,78000,<150000km
Porsche,Autres,,28000,1974,02/04/2020,Essence,60000,Manuelle,79100,<150000km
Porsche,911,,86900,2008,24/02/2020,Essence,38290,Manuelle,78550,<50000km
Porsche,Autres,,66700,2010,01/02/2020,Essence,78449,Automatique,67960,<150000km
Porsche,Autres,,29990,1975,03/03/2020,Essence,98718,Manuelle,26240,<150000km
Porsche,911,,32600,2002,27/02/2020,Essence,141620,Manuelle,79300,<150000km
Porsche,911,,68990,1995,01/03/2020,Essence,179000,Manuelle,40130,<250000km
Porsche,911,,48990,2006,26/01/2020,Essence,87000,Automatique,40130,<150000km
Porsche,911,,74990,1997,03/03/2020,Essence,156000,Manuelle,40130,<250000km
Porsche,911,,68990,1995,01/03/2020,Essence,117000,Manuelle,40130,<150000km
Porsche,Boxster,,13900,1997,02/04/2020,Essence,133000,Automatique,54200,<150000km
Porsche,Boxster,,29500,2006,02/04/2020,Essence,58962,Manuelle,67118,<150000km
Porsche,911,,67600,1983,02/04/2020,Essence,122595,Manuelle,54000,<150000km
Porsche,Panamera,,48950,2010,14/03/2020,Essence,55174,Automatique,37390,<150000km
Porsche,911,,55990,1987,06/12/2019,Essence,173200,Manuelle,45370,<250000km
Porsche,Autres,,25700,1966,02/04/2020,Essence,87856,Automatique,66000,<150000km
Porsche,911,,49900,1989,02/04/2020,Essence,163555,Manuelle,1000,<250000km
Porsche,Autres,,91400,1987,02/04/2020,Essence,153024,Manuelle,75005,<250000km
Porsche,Boxster,,16490,1999,12/10/2018,Essence,94600,Manuelle,29000,<150000km
Porsche,911,,38700,2005,08/10/2019,Essence,110126,Manuelle,75014,<150000km
Porsche,Boxster,,27900,2010,21/09/2019,Essence,93317,Manuelle,75014,<150000km
Porsche,911,,45700,2005,13/07/2019,Essence,68054,Manuelle,75014,<150000km
Porsche,Autres,,73800,1990,02/04/2020,Essence,113960,Manuelle,13080,<150000km
Porsche,Autres,,35700,1974,02/04/2020,Essence,7064,Manuelle,49000,<50000km
Porsche,911,,63300,1983,02/04/2020,Essence,84800,Manuelle,21000,<150000km
Porsche,Autres,,110500,1962,31/01/2020,Essence,500,Manuelle,25000,<5000km
Porsche,911,,49000,1983,02/04/2020,Essence,500,Manuelle,51100,<5000km
Porsche,911,,40600,1976,02/04/2020,Essence,171200,Manuelle,6000,<250000km
Porsche,911,,44990,1986,06/02/2020,Essence,253147,Manuelle,17180,+250000km
Porsche,Autres,,47400,1975,02/04/2020,Essence,270170,Manuelle,92100,+250000km
Porsche,944,,17990,1987,06/02/2020,Essence,157000,Manuelle,17180,<250000km
Porsche,911,,36990,1978,06/02/2020,Essence,68000,Manuelle,17180,<150000km
Porsche,911,,67990,2007,02/04/2020,Essence,81700,Manuelle,56400,<150000km
Porsche,Autres,,33100,1974,02/04/2020,Essence,154752,Manuelle,37000,<250000km
Porsche,911,,50900,2009,02/04/2020,Essence,62800,Automatique,1000,<150000km
Porsche,Autres,,26200,1975,02/04/2020,Essence,500,Manuelle,76000,<5000km
Porsche,Autres,,25200,1974,02/04/2020,Essence,143789,Manuelle,42000,<150000km
Porsche,Autres,,57900,1968,30/01/2020,Essence,24133,Manuelle,87000,<50000km
Porsche,Autres,,41100,1975,02/04/2020,Essence,116019,Manuelle,67000,<150000km
