marque,modele,version,prix,annee,date,motor,kilometrage,boite de vitesse,code postal,etat
Porsche,Cayman,,33990,2006,08/04/2020,Essence,49500,Automatique,76000,<50000km
Porsche,Boxster,,38800,2010,15/04/2020,Essence,63000,Automatique,31000,<150000km
Porsche,Cayenne,,9999,2004,15/02/2020,Essence,200000,Automatique,57970,<250000km
Porsche,911,,64990,1999,09/04/2020,Essence,61640,Manuelle,60740,<150000km
Porsche,Boxster,,13990,1999,21/02/2020,Essence,131607,Manuelle,60740,<150000km
Porsche,911,,27990,2001,19/02/2020,Essence,120389,Manuelle,60740,<150000km
Porsche,Cayenne,,17990,2007,29/01/2020,Essence,196682,Automatique,60740,<250000km
Porsche,911,,54990,2009,03/04/2019,Essence,95040,Automatique,60740,<150000km
Porsche,911,,154999,2007,25/02/2020,Essence,36000,Manuelle,57970,<50000km
Porsche,911,,99999,2010,24/01/2020,Essence,79298,Automatique,57970,<150000km
Porsche,Cayenne,,11290,2009,02/03/2020,Diesel,309000,Automatique,30650,+250000km
Porsche,Boxster,,12900,1999,15/04/2020,Essence,155000,Manuelle,73100,<250000km
Porsche,911,,61900,2009,15/04/2020,Essence,79500,Manuelle,1290,<150000km
Porsche,Cayenne,,16990,2007,22/02/2020,Essence,106500,Automatique,42100,<150000km
Porsche,Cayenne,,9900,2004,19/02/2020,Essence,254000,Automatique,70190,+250000km
Porsche,924,,3000,1983,15/04/2020,Essence,1,Manuelle,32700,<5000km
Porsche,911,,35900,2005,10/02/2020,Essence,145000,Manuelle,83490,<150000km
Porsche,Cayman,,25000,2007,15/04/2020,Essence,73000,Manuelle,83000,<150000km
Porsche,Cayenne,,11000,2004,15/04/2020,Essence,160000,Manuelle,78700,<250000km
Porsche,911,,44990,2009,20/02/2020,Essence,112000,Automatique,35000,<150000km
Porsche,Panamera,,42900,2010,26/01/2020,Essence,96000,Automatique,82200,<150000km
Porsche,911,,57100,1984,15/04/2020,Essence,52709,Manuelle,59170,<150000km
Porsche,911,,73900,2010,15/04/2020,Essence,52500,Automatique,78800,<150000km
Porsche,Cayenne,,20000,2010,15/04/2020,Diesel,223000,Automatique,76590,<250000km
Porsche,911,,52000,1985,15/04/2020,Essence,101348,Manuelle,13002,<150000km
Porsche,Cayenne,,5000,2004,15/04/2020,Essence,215000,Automatique,35000,<250000km
Porsche,911,,67911,2006,15/04/2020,Essence,79400,Manuelle,36000,<150000km
Porsche,Cayman,,24000,2008,13/04/2020,Essence,127000,Manuelle,91650,<150000km
Porsche,Panamera,,42990,2009,15/04/2020,Essence,89391,Automatique,75015,<150000km
Porsche,911,,51900,1994,15/04/2020,Essence,149500,Manuelle,92100,<150000km
Porsche,Boxster,,19400,2004,02/03/2020,Essence,99500,Manuelle,26000,<150000km
Porsche,Cayenne,,16890,2007,15/02/2020,Essence,145900,Automatique,69680,<150000km
Porsche,911,,42500,2006,02/03/2020,Essence,142000,Manuelle,13510,<150000km
Porsche,911,,36990,2002,20/01/2020,Essence,125000,Automatique,13510,<150000km
Porsche,Cayenne,,7000,2005,15/04/2020,Essence,243000,Automatique,59330,<250000km
Porsche,911,,53990,2007,15/04/2020,Essence,68729,Manuelle,75015,<150000km
Porsche,944,,19900,1991,10/03/2020,Essence,174000,Manuelle,45360,<250000km
Porsche,Cayenne,,9990,2006,15/04/2020,Essence,175000,Manuelle,34000,<250000km
Porsche,911,,53990,2009,06/03/2019,Essence,49855,Manuelle,60740,<50000km
Porsche,911,,49999,1987,15/04/2020,Essence,128000,Manuelle,69440,<150000km
Porsche,944,,9500,1984,15/04/2020,Essence,250,Manuelle,69430,<5000km
Porsche,Cayenne,,6590,2004,15/04/2020,Essence,250000,Manuelle,95480,+250000km
Porsche,911,,46000,2005,18/03/2020,Essence,108000,Manuelle,56250,<150000km
Porsche,911,,52900,1987,26/02/2020,Essence,160100,Manuelle,64200,<250000km
Porsche,911,,49900,1991,26/02/2020,Essence,242500,Manuelle,64200,<250000km
Porsche,Cayman,,29990,2007,01/12/2019,Essence,106000,Manuelle,97122,<150000km
Porsche,911,,46990,2002,29/02/2020,Essence,73900,Manuelle,59113,<150000km
Porsche,911,,49990,2006,12/12/2019,Essence,98500,Manuelle,59113,<150000km
Porsche,911,,116997,2008,06/03/2020,Essence,47050,Manuelle,6800,<50000km
Porsche,Cayenne,,26958,2010,09/02/2020,Diesel,126000,Automatique,6800,<150000km
Porsche,911,,49700,2007,13/10/2019,Essence,127300,Automatique,6250,<150000km
Porsche,911,,34790,1999,22/06/2019,Essence,42000,Manuelle,6250,<50000km
Porsche,911,,155000,1984,15/04/2020,Essence,145863,Manuelle,75016,<150000km
Porsche,911,,24990,1997,15/04/2020,Essence,171000,Manuelle,26600,<250000km
Porsche,911,,33990,2003,08/04/2020,Essence,115000,Manuelle,59164,<150000km
Porsche,911,,44900,1976,05/03/2020,Essence,135000,Manuelle,45000,<150000km
Porsche,911,,44700,1979,15/04/2020,Essence,242322,Manuelle,63000,<250000km
Porsche,911,,42000,1973,01/02/2020,Essence,184646,Automatique,62100,<250000km
Porsche,Boxster,,20990,2005,29/01/2020,Essence,99900,Manuelle,91280,<150000km
Porsche,Panamera,,34990,2009,11/04/2020,Essence,110900,Automatique,91830,<150000km
Porsche,911,,34990,2005,11/04/2020,Essence,163100,Automatique,91830,<250000km
Porsche,Boxster,,24990,2006,11/04/2020,Essence,81400,Manuelle,91830,<150000km
Porsche,911,,26900,2003,12/03/2020,Essence,146300,Automatique,91830,<150000km
Porsche,Cayenne,,23990,2007,20/02/2020,Essence,90000,Manuelle,42110,<150000km
Porsche,911,,48400,1970,15/04/2020,Essence,78381,Manuelle,87000,<150000km
Porsche,Boxster,,15490,2005,15/04/2020,Essence,121000,Manuelle,6500,<150000km
Porsche,911,,69890,2009,13/03/2020,Essence,74500,Automatique,69970,<150000km
Porsche,911,,51490,2007,13/03/2020,Essence,95000,Manuelle,69970,<150000km
Porsche,911,,46900,2008,07/02/2020,Essence,85000,Automatique,69970,<150000km
Porsche,911,,53900,2009,14/11/2019,Essence,112423,Automatique,69970,<150000km
Porsche,911,,70500,2007,14/11/2019,Essence,94317,Manuelle,69970,<150000km
Porsche,911,,108000,1991,04/03/2020,Essence,84950,Manuelle,57155,<150000km
Porsche,Cayenne,,9500,2005,28/01/2020,Essence,240000,Manuelle,3130,<250000km
Porsche,Boxster,,26990,2006,19/02/2020,Essence,83000,Manuelle,9190,<150000km
Porsche,911,,69700,2010,13/04/2020,Essence,48845,Automatique,75014,<50000km
Porsche,911,,54700,2010,28/02/2020,Essence,75872,Automatique,75014,<150000km
Porsche,911,,46700,2008,21/01/2020,Essence,69971,Manuelle,75014,<150000km
Porsche,Cayman,,25500,2006,15/04/2020,Essence,100000,Manuelle,45450,<150000km
Porsche,Cayenne,,14000,2004,15/04/2020,Essence,180000,Manuelle,62500,<250000km
Porsche,911,,36500,2003,08/04/2020,Essence,64500,Automatique,6270,<150000km
Porsche,911,,59990,2009,02/04/2020,Essence,87150,Automatique,12000,<150000km
Porsche,Boxster,,10990,1998,09/04/2020,Essence,164995,Manuelle,12000,<250000km
Porsche,944,,7600,1982,01/04/2020,Essence,106272,Manuelle,41360,<150000km
Porsche,911,,48890,2005,16/03/2020,Essence,55900,Manuelle,63130,<150000km
Porsche,911,,45000,1977,22/03/2020,Essence,191000,Manuelle,21200,<250000km
Porsche,911,,45900,2006,12/03/2020,Essence,158000,Manuelle,56000,<250000km
Porsche,Boxster,,36900,2009,19/02/2020,Essence,99900,Automatique,6110,<150000km
Porsche,Cayenne,,8500,2004,15/04/2020,Essence,196000,Automatique,59500,<250000km
Porsche,911,,128000,1982,04/02/2020,Essence,100000,Manuelle,35000,<150000km
Porsche,Boxster,,22990,2005,10/03/2020,Essence,131329,Manuelle,94380,<150000km
Porsche,911,,39990,2004,06/03/2020,Essence,37746,Manuelle,94380,<50000km
Porsche,Cayenne,,35900,2010,23/01/2020,Essence,93000,Automatique,24100,<150000km
Porsche,911,,25500,2000,14/04/2020,Essence,158000,Manuelle,68460,<250000km
Porsche,Cayman,,34990,2006,14/04/2020,Essence,46832,Manuelle,63320,<50000km
Porsche,911,,46700,2005,14/04/2020,Essence,95935,Manuelle,75014,<150000km
Porsche,944,,19000,1990,14/04/2020,Essence,173600,Manuelle,47000,<250000km
Porsche,911,,85000,2005,23/01/2020,Essence,68000,Manuelle,33000,<150000km
Porsche,911,,56900,2009,07/02/2020,Essence,99800,Automatique,33000,<150000km
Porsche,911,,51000,1987,14/04/2020,Essence,175000,Manuelle,44000,<250000km
Porsche,911,,45990,2008,20/01/2020,Essence,177000,Manuelle,13510,<250000km
Porsche,Cayenne,,8400,2004,14/04/2020,Essence,245000,Manuelle,10210,<250000km
Porsche,911,,44500,1990,10/03/2020,Essence,160000,Automatique,56250,<250000km
Porsche,Cayman,,41000,2009,22/02/2020,Essence,51000,Automatique,20600,<150000km
Porsche,911,,95000,2010,14/04/2020,Essence,72000,Automatique,57000,<150000km
Porsche,911,,49990,2006,10/02/2020,Essence,83592,Manuelle,35760,<150000km
Porsche,911,,52900,2006,16/03/2020,Essence,82122,Manuelle,6270,<150000km
Porsche,Panamera,,39990,2010,14/04/2020,Essence,89000,Automatique,40130,<150000km
Porsche,Boxster,,31500,2007,14/04/2020,Essence,90000,Manuelle,89400,<150000km
Porsche,911,,42990,2005,14/04/2020,Essence,109020,Automatique,75015,<150000km
Porsche,911,,51900,2007,03/02/2020,Essence,72000,Manuelle,13360,<150000km
Porsche,Boxster,,23990,2006,11/03/2020,Essence,88100,Manuelle,94100,<150000km
Porsche,Cayenne,,15990,2007,21/02/2020,Essence,139667,Manuelle,94100,<150000km
Porsche,911,,56990,2009,08/02/2020,Essence,78018,Automatique,94100,<150000km
