Renault,Espace,,9 990 €,2008,29/02/2020,Rueil-Malmaison ,Essence,120000 km,Automatique,92500,
Alfa Romeo,159,,6 390 €,2009,02/02/2020,Rueil-Malmaison ,Diesel,160000 km,Manuelle,92500,
Renault,Espace,,6 790 €,2011,25/01/2020,Rueil-Malmaison ,Diesel,170000 km,Manuelle,92500,
Renault,Laguna,,1 600 €,2001,17/04/2020,Versailles ,Essence,158200 km,Automatique,78000,
Citroen,Berlingo,,26 842 €,2019,17/04/2020,Paris ,Diesel,3578 km,Automatique,75116,
Renault,Clio,,1 200 €,1999,17/04/2020,Cap-d'Ail ,Essence,165000 km,Manuelle,06320,
Citroen,Spacetourer,,23 929 €,2019,17/04/2020,Paris ,Diesel,20675 km,Automatique,75116,
Citroen,C15,,1 500 €,2001,17/04/2020,Le Mené ,Diesel,202000 km,Manuelle,22330,
Citroen,C3,,3 100 €,2009,17/04/2020,Les Abymes ,Diesel,124000 km,Manuelle,97139,
Mercedes,Classe B,,12 500 €,2012,17/04/2020,Saint-Ouen-l'Aumône ,Diesel,149800 km,Automatique,95310,
Renault,Clio,,3 000 €,2017,17/04/2020,Saint-Etienne ,Diesel,118200 km,Manuelle,42000,
Renault,Clio,,7 500 €,2015,17/04/2020,Cannes ,Diesel,89000 km,Manuelle,06400,
Peugeot,208,,3 000 €,2013,17/04/2020,La Bâtie-Vieille ,Diesel,123100 km,Manuelle,05000,
Peugeot,207,,5 490 €,2007,07/03/2020,Janzé ,Diesel,154750 km,Manuelle,35150,
Renault,Clio,,650 €,2007,17/04/2020,Reims ,Essence,300000 km,Manuelle,51100,
Citroen,C3,,1 950 €,2005,17/04/2020,Savigny-sur-Orge ,Essence,191000 km,Manuelle,91600,
Peugeot,207,,5 500 €,2008,17/04/2020,Bouville ,Diesel,133000 km,Manuelle,76360,
