marque,modele,version,prix,date,motor,kilometrage,annee,boite de vitesse,code postal,etat
FERRARI,488,GTB,219980,31/08/2018,ESSENCE,85,2018,AUTOMATIQUE,85276,<5000km
FERRARI,F12,,778980,12/09/2019,ESSENCE,9464,2016,AUTOMATIQUE,85276,<50000km
FERRARI,488,GTB,185980,04/01/2020,ESSENCE,18045,2016,AUTOMATIQUE,85276,<50000km
FERRARI,F12,,167980,18/01/2020,ESSENCE,43377,2013,AUTOMATIQUE,85276,<50000km
FERRARI,488,GTB,194980,18/03/2020,ESSENCE,9879,2016,AUTOMATIQUE,85276,<50000km
WIESMANN,GT MF4,S,189000,10/04/2020,ESSENCE,19800,2011,AUTOMATIQUE,33360,<50000km
LAMBORGHINI,AVENTADOR,V12 6.5,229999,14/07/2018,ESSENCE,29000,2013,AUTOMATIQUE,45770,<50000km
FERRARI,488,GTB,194900,12/04/2019,ESSENCE,15000,2016,AUTOMATIQUE,45770,<50000km
PORSCHE,CARRERA GT,,629000,03/03/2020,ESSENCE,78000,2003,MANUELLE,9220,<150000km
WIESMANN,MF3,,75900,04/10/2019,ESSENCE,104000,1998,MANUELLE,83317,<150000km
ASTON MARTIN,VANQUISH,SV12 5.9,169990,27/09/2019,ESSENCE,14310,2017,AUTOMATIQUE,83308,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,83990,18/02/2020,ESSENCE,25257,2018,AUTOMATIQUE,83308,<50000km
FERRARI,488,GTB,179000,04/03/2019,ESSENCE,15000,2019,MANUELLE,81040,<50000km
NISSAN,GT R,V6 3.8BLACK EDITION,44100,01/07/2018,ESSENCE,74104,2009,AUTOMATIQUE,67346,<150000km
LAMBORGHINI,AVENTADOR,V12 6.5,274000,06/12/2019,ESSENCE,14262,2015,AUTOMATIQUE,74626,<50000km
MC LAREN,MP4 12C,V8 3.8,105000,10/12/2019,ESSENCE,14000,2012,AUTOMATIQUE,67434,<50000km
LOTUS,3 ELEVEN,,120000,01/08/2019,ESSENCE,12000,2017,MANUELLE,45140,<50000km
LOTUS,3 ELEVEN,V6 3.5,120000,15/08/2019,ESSENCE,12000,2017,MANUELLE,45140,<50000km
