marque,modele,version,prix,date,motor,kilometrage,annee,boite de vitesse,code postal,etat,percentage
NISSAN,GT R,PRESTIGE,84950,15/01/2019,ESSENCE,16000,2018,AUTOMATIQUE,72770,<50000km,1.0317998911657071
MC LAREN,675LT,V8 3.8,278000,12/02/2020,ESSENCE,6500,2017,AUTOMATIQUE,6320,<50000km,1.0969424460431654
LAMBORGHINI,AVENTADOR,SVJV12 6.5,475000,27/03/2020,ESSENCE,200,2020,MANUELLE,6320,<5000km,0.9849010340500327
MC LAREN,720S,V8 4.0,239000,12/04/2020,ESSENCE,4300,2018,AUTOMATIQUE,6320,<5000km,0.9949307297962883
ASTON MARTIN,VANQUISH,V12 5.9,79900,20/07/2018,ESSENCE,48972,2003,AUTOMATIQUE,98000,<50000km,1.5998598388044862
ASTON MARTIN,VANQUISH,V12 5.9,139000,22/09/2018,ESSENCE,25000,2015,AUTOMATIQUE,98000,<50000km,1.5998598388044862
LAMBORGHINI,MURCIELAGO,,139900,19/01/2019,ESSENCE,43700,2003,MANUELLE,98000,<50000km,1.1813403598102055
MC LAREN,MP4 12C,V8 3.8,119000,27/04/2019,ESSENCE,15000,2011,AUTOMATIQUE,98000,<50000km,1.1110249148359417
LAMBORGHINI,AVENTADOR,SV12 6.5,339000,10/05/2019,ESSENCE,6900,2017,AUTOMATIQUE,98000,<50000km,0.9849010340500327
MC LAREN,720S,V8 4.0,239000,13/06/2019,ESSENCE,4300,2018,-,98000,<5000km,0.9949307297962883
LAMBORGHINI,AVENTADOR,SVV12 6.5,410000,22/06/2019,ESSENCE,11000,2016,AUTOMATIQUE,98000,<50000km,0.9849010340500327
MC LAREN,720S,V8 4.0,265000,25/06/2019,ESSENCE,100,2019,-,98000,<5000km,0.9949307297962883
MC LAREN,720S,V8 4.0,245000,25/06/2019,ESSENCE,5200,2019,-,98000,<50000km,0.9949307297962883
MC LAREN,570GT,V8 3.8,162000,25/06/2019,ESSENCE,1900,2017,AUTOMATIQUE,98000,<5000km,1.1431181809932949
FERRARI,812 SUPERFAST,,360000,06/07/2019,ESSENCE,4213,2018,-,98000,<5000km,1.0383023697920182
FERRARI,F12,,199900,28/08/2019,ESSENCE,15112,2014,AUTOMATIQUE,98000,<50000km,1.0898358306272797
LAMBORGHINI,MURCIELAGO,LP640 4,215000,27/09/2019,ESSENCE,11800,2008,AUTOMATIQUE,98000,<50000km,1.1813403598102055
FERRARI,ENZO,,2200000,30/09/2019,ESSENCE,11000,2004,MANUELLE,98000,<50000km,1.1596117760332842
FERRARI,488,GTB,187900,14/10/2019,ESSENCE,24900,2016,AUTOMATIQUE,98000,<50000km,1.0027013346125184
FERRARI,812 SUPERFAST,,340000,23/10/2019,ESSENCE,2560,2019,-,98000,<5000km,1.0383023697920182
MC LAREN,570S,V8 3.8,164990,23/10/2019,ESSENCE,4600,2016,AUTOMATIQUE,98000,<5000km,0.9359892770882359
MC LAREN,MP4 12C,V8 3.8,122900,30/10/2019,ESSENCE,15326,2012,AUTOMATIQUE,98000,<50000km,1.1110249148359417
ASTON MARTIN,VANQUISH,V12 5.9,120000,05/11/2019,ESSENCE,63000,2003,MANUELLE,98000,<150000km,1.5998598388044862
NISSAN,GT R,V6 3.8NISMO4X4,125900,08/11/2019,ESSENCE,25000,2015,AUTOMATIQUE,98000,<50000km,1.0317998911657071
MC LAREN,MP4 12C,V8 3.8,120000,09/11/2019,ESSENCE,28000,2012,-,98000,<50000km,1.1110249148359417
MC LAREN,570S SPIDER,V8 3.8,219000,09/11/2019,ESSENCE,100,2019,-,98000,<5000km,1.1229124297622057
FERRARI,F12,,210000,14/11/2019,ESSENCE,5000,2013,AUTOMATIQUE,98000,<50000km,1.0898358306272797
FERRARI,F12,,210000,15/11/2019,ESSENCE,4994,2013,AUTOMATIQUE,98000,<5000km,1.0898358306272797
MC LAREN,570S,V8 3.8,162000,16/11/2019,ESSENCE,4900,2016,AUTOMATIQUE,98000,<5000km,0.9359892770882359
MERCEDES,SLR MCLAREN,,365000,21/11/2019,ESSENCE,17900,2007,AUTOMATIQUE,98000,<50000km,-1.0
FERRARI,812 SUPERFAST,,362000,21/11/2019,ESSENCE,1350,2018,AUTOMATIQUE,98000,<5000km,1.0383023697920182
LAMBORGHINI,MIURA,,1000000,22/11/2019,ESSENCE,27000,1969,MANUELLE,98000,<50000km,-1.0
LAMBORGHINI,MIURA,,1000000,22/11/2019,ESSENCE,27000,1970,MANUELLE,98000,<50000km,-1.0
ASTON MARTIN,VANQUISH,V12 5.9,97000,23/11/2019,ESSENCE,37000,2003,MANUELLE,98000,<50000km,1.5998598388044862
FERRARI,F50,,1800000,25/11/2019,ESSENCE,15000,1996,AUTOMATIQUE,98000,<50000km,-1.0
MERCEDES,SLR MCLAREN,,300000,04/12/2019,ESSENCE,7300,2008,AUTOMATIQUE,98000,<50000km,-1.0
FERRARI,812 SUPERFAST,,289000,04/12/2019,ESSENCE,15900,2019,AUTOMATIQUE,98000,<50000km,1.0383023697920182
FERRARI,812 SUPERFAST,,365000,05/12/2019,ESSENCE,5346,2018,AUTOMATIQUE,98000,<50000km,1.0383023697920182
FERRARI,488,GTB,219000,04/01/2020,ESSENCE,2900,2017,AUTOMATIQUE,98000,<5000km,1.0027013346125184
MC LAREN,570S,V8 3.8,155000,15/01/2020,ESSENCE,12000,2016,AUTOMATIQUE,98000,<50000km,0.9359892770882359
FERRARI,F12,,195000,15/01/2020,ESSENCE,23000,2013,AUTOMATIQUE,98000,<50000km,1.0898358306272797
FERRARI,F12,V12 6.3,195000,15/01/2020,ESSENCE,23000,2013,AUTOMATIQUE,98000,<50000km,1.0898358306272797
MC LAREN,720S,V8 4.0,289000,18/01/2020,ESSENCE,100,2020,-,98000,<5000km,0.9949307297962883
LAMBORGHINI,AVENTADOR,V12 6.5,217900,20/01/2020,ESSENCE,38000,2012,AUTOMATIQUE,98000,<50000km,0.9849010340500327
NISSAN,GT R,V6 3.8GENTLEMAN EDITION4X4,89990,21/01/2020,ESSENCE,16000,2017,AUTOMATIQUE,98000,<50000km,1.0317998911657071
FERRARI,F12,,179900,31/01/2020,ESSENCE,24120,2013,AUTOMATIQUE,98000,<50000km,1.0898358306272797
MC LAREN,720S,V8 4.0,239000,05/02/2020,ESSENCE,9800,2018,-,98000,<50000km,0.9949307297962883
FERRARI,488,GTB,189900,10/02/2020,ESSENCE,9557,2016,AUTOMATIQUE,98000,<50000km,1.0027013346125184
FERRARI,488,,229000,11/02/2020,ESSENCE,9900,2017,AUTOMATIQUE,98000,<50000km,1.0027013346125184
FERRARI,488,GTB,184900,12/02/2020,ESSENCE,14838,2016,AUTOMATIQUE,98000,<50000km,1.0027013346125184
FERRARI,599,GTO,520000,14/02/2020,ESSENCE,12200,2010,AUTOMATIQUE,98000,<50000km,1.044769782541518
LAMBORGHINI,AVENTADOR,SVJV12 6.5,519900,21/02/2020,ESSENCE,660,2019,AUTOMATIQUE,98000,<5000km,0.9849010340500327
LAMBORGHINI,AVENTADOR,SVJV12 6.5,475000,24/03/2020,ESSENCE,200,2020,AUTOMATIQUE,98000,<5000km,0.9849010340500327
FERRARI,812 SUPERFAST,,369900,02/04/2020,ESSENCE,390,2020,AUTOMATIQUE,98000,<5000km,1.0383023697920182
MC LAREN,720S,V8 4.0,189950,09/04/2020,ESSENCE,22000,2018,MANUELLE,98000,<50000km,0.9949307297962883
MC LAREN,570S,V8 3.8,178800,27/01/2020,ESSENCE,13000,2016,AUTOMATIQUE,6240,<50000km,0.9359892770882359
MC LAREN,720S,V8 4.0,268800,27/01/2020,ESSENCE,22000,2017,AUTOMATIQUE,6240,<50000km,0.9949307297962883
LAMBORGHINI,AVENTADOR,V12 6.5,298800,27/01/2020,ESSENCE,22000,2013,AUTOMATIQUE,6240,<50000km,0.9849010340500327
MC LAREN,570S SPIDER,V8 3.8,164000,09/03/2020,ESSENCE,6000,2016,AUTOMATIQUE,6240,<50000km,1.1229124297622057
NISSAN,GT R,V6 3.8GENTLEMAN EDITION,79990,07/02/2020,ESSENCE,16100,2016,-,6510,<50000km,1.0317998911657071
NISSAN,GT R,V6 3.8,79990,08/02/2020,ESSENCE,16100,2016,AUTOMATIQUE,6510,<50000km,1.0317998911657071
NISSAN,GT R,V6 3.8GENTLEMAN EDITION,79990,29/03/2020,ESSENCE,16100,2017,AUTOMATIQUE,6510,<50000km,1.0317998911657071
NISSAN,GT R,V6 3.8TRACK EDITION4X4,92000,30/01/2020,ESSENCE,19720,2017,AUTOMATIQUE,6600,<50000km,1.0317998911657071
NISSAN,GT R,V6 3.8,52990,21/02/2020,ESSENCE,76800,2011,AUTOMATIQUE,6600,<150000km,1.0317998911657071
NISSAN,GT R,,55000,09/03/2020,ESSENCE,77400,2009,AUTOMATIQUE,6190,<150000km,1.0317998911657071
ASTON MARTIN,VANQUISH,V12 5.9,149900,23/08/2019,ESSENCE,8000,2013,AUTOMATIQUE,6110,<50000km,1.5998598388044862
FERRARI,488,GTB,219900,13/01/2020,ESSENCE,6400,2020,AUTOMATIQUE,6110,<50000km,1.0027013346125184
LAMBORGHINI,DIABLO,,125000,28/01/2020,ESSENCE,39000,1993,MANUELLE,6110,<50000km,0.8642904891719105
LAMBORGHINI,HURACAN SPYDER,V10 5.2,184900,28/02/2020,ESSENCE,16700,2016,AUTOMATIQUE,6110,<50000km,0.8109146810146042
LAMBORGHINI,HURACAN SPYDER,V10 5.2,299900,02/03/2020,ESSENCE,2900,2020,AUTOMATIQUE,6110,<5000km,0.8109146810146042
FERRARI,F12,,249900,31/01/2019,ESSENCE,32900,2013,AUTOMATIQUE,6400,<50000km,1.0898358306272797
MERCEDES,SLR MCLAREN,,299900,08/03/2019,ESSENCE,2100,2008,AUTOMATIQUE,6400,<5000km,-1.0
LAMBORGHINI,HURACAN SPYDER,V10 5.2,269900,03/05/2019,ESSENCE,9200,2016,AUTOMATIQUE,6400,<50000km,0.8109146810146042
