marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
FERRARI,456,54480,1 génération,Coupé,1999,21/05/2020,ESSENCE,106493,MANUEL,86000,31,442,<150000km
FERRARI,488,222180,1 génération,spider roadster,2017,30/03/2020,ESSENCE,12695,AUTOMATIQUE,33000,61,670,<50000km
FERRARI,F430,100800,1 génération,Coupé,2008,30/03/2020,ESSENCE,45920,AUTOMATIQUE,83000,43,490,<50000km
FERRARI,599,134070,1 génération,Coupé,2010,30/03/2020,ESSENCE,46617,AUTOMATIQUE,16000,58,620,<50000km
FERRARI,348,74380,1 génération,ts targa,1994,30/03/2020,ESSENCE,74875,MANUEL,21000,21,300,<150000km
FERRARI,599,109150,1 génération,Coupé,2009,30/03/2020,ESSENCE,93220,AUTOMATIQUE,94000,58,620,<150000km
FERRARI,550,116550,1 génération,Coupé,2001,30/03/2020,ESSENCE,47369,MANUEL,31000,30,479,<50000km
FERRARI,F355,92550,1 génération,Cabriolet,1996,30/03/2020,ESSENCE,98770,MANUEL,7000,20,375,<150000km
FERRARI,F430,103190,1 génération,Coupé,2006,13/04/2020,ESSENCE,70725,AUTOMATIQUE,78000,43,490,<150000km
FERRARI,MONDIAL,63160,T,Cabriolet,1991,30/03/2020,ESSENCE,17176,MANUEL,16000,22,296,<50000km
FERRARI,MONDIAL,49240,T,Cabriolet,1996,30/03/2020,ESSENCE,40425,MANUEL,67000,22,296,<50000km
FERRARI,458,203880,1 génération,Coupé,2012,30/03/2020,ESSENCE,22200,AUTOMATIQUE,98000,49,570,<50000km
FERRARI,458,171200,1 génération,Coupé,2014,30/03/2020,ESSENCE,34240,AUTOMATIQUE,13000,49,570,<50000km
FERRARI,360,71380,1 génération,Coupé,2002,25/04/2020,ESSENCE,84058,MANUEL,33000,34,400,<150000km
FERRARI,488,376280,1 génération,spider roadster,2020,30/03/2020,ESSENCE,2862,AUTOMATIQUE,6000,68,720,<5000km
FERRARI,F430,90470,1 génération,Coupé,2006,30/03/2020,ESSENCE,79853,MANUEL,17000,43,490,<150000km
FERRARI,488,429450,1 génération,spider roadster,2021,30/03/2020,ESSENCE,78,AUTOMATIQUE,69000,68,720,<5000km
FERRARI,458,156600,1 génération,Coupé,2012,30/03/2020,ESSENCE,42660,AUTOMATIQUE,12000,49,570,<50000km
FERRARI,FF,158980,1 génération,Coupé,2013,30/03/2020,ESSENCE,23161,AUTOMATIQUE,12000,63,660,<50000km
FERRARI,F355,89580,1 génération,gts targa,1998,30/03/2020,ESSENCE,83548,MANUEL,29000,20,375,<150000km
FERRARI,458,165080,1 génération,Coupé,2011,24/04/2020,ESSENCE,54530,AUTOMATIQUE,67000,49,570,<150000km
FERRARI,488,307450,1 génération,Coupé,2019,30/03/2020,ESSENCE,5472,AUTOMATIQUE,6000,68,670,<50000km
FERRARI,488,407160,1 génération,Coupé,2020,30/03/2020,ESSENCE,1998,AUTOMATIQUE,6000,68,720,<5000km
FERRARI,458,499480,1 génération,Coupé,2017,30/03/2020,ESSENCE,311,AUTOMATIQUE,8000,53,605,<5000km
FERRARI,550,112080,1 génération,Coupé,1999,15/05/2020,ESSENCE,40710,MANUEL,38000,30,479,<50000km
FERRARI,CALIFORNIA,136390,2 génération,Cabriolet,2016,30/03/2020,ESSENCE,40950,AUTOMATIQUE,92000,47,560,<50000km
FERRARI,488,227680,1 génération,spider roadster,2017,30/03/2020,ESSENCE,31107,AUTOMATIQUE,89000,61,670,<50000km
FERRARI,458,321000,1 génération,Coupé,2015,30/03/2020,ESSENCE,8502,AUTOMATIQUE,75000,53,605,<50000km
FERRARI,CALIFORNIA,137880,1 génération,Cabriolet,2013,30/03/2020,ESSENCE,59685,AUTOMATIQUE,59000,40,490,<150000km
FERRARI,575,179140,1 génération,Coupé,2003,30/03/2020,ESSENCE,43460,MANUEL,78000,47,515,<50000km
FERRARI,812 SUPERFAST,351890,1 génération,Coupé,2019,23/04/2020,ESSENCE,12905,AUTOMATIQUE,31000,81,800,<50000km
FERRARI,MONDIAL,74380,T,Cabriolet,1992,30/03/2020,ESSENCE,8916,MANUEL,6000,22,296,<50000km
FERRARI,488,487500,1 génération,Coupé,2020,30/03/2020,ESSENCE,3125,AUTOMATIQUE,98000,68,720,<5000km
FERRARI,CALIFORNIA,121790,1 génération,Cabriolet,2011,13/05/2020,ESSENCE,32860,AUTOMATIQUE,33000,37,460,<50000km
FERRARI,PORTOFINO,264860,1 génération,Cabriolet,2019,30/03/2020,ESSENCE,5929,AUTOMATIQUE,69000,52,600,<50000km
FERRARI,612 SCAGLIETTI,99900,1 génération,Coupé,2009,30/03/2020,ESSENCE,27750,AUTOMATIQUE,75000,50,540,<50000km
FERRARI,599,141590,1 génération,Coupé,2008,30/03/2020,ESSENCE,43911,AUTOMATIQUE,13000,60,620,<50000km
FERRARI,FF,199920,1 génération,Coupé,2012,30/03/2020,ESSENCE,40698,AUTOMATIQUE,69000,63,660,<50000km
FERRARI,575,89250,1 génération,Coupé,2003,30/03/2020,ESSENCE,63351,MANUEL,78000,47,515,<150000km
FERRARI,599,115500,1 génération,Coupé,2010,29/05/2020,ESSENCE,39060,AUTOMATIQUE,60000,58,620,<50000km
FERRARI,550,86900,1 génération,Coupé,1999,30/03/2020,ESSENCE,89760,MANUEL,42000,31,479,<150000km
FERRARI,F430,115390,1 génération,Coupé,2008,07/05/2020,ESSENCE,61418,AUTOMATIQUE,18070,43,490,<150000km
FERRARI,456,87090,1 génération,Coupé,2001,30/03/2020,ESSENCE,79025,MANUEL,16000,40,442,<150000km
FERRARI,MONDIAL,51360,T,Cabriolet,1992,30/03/2020,ESSENCE,42828,MANUEL,65000,22,296,<50000km
FERRARI,F355,111710,1 génération,gts targa,1999,26/05/2020,ESSENCE,41268,MANUEL,74000,20,375,<50000km
FERRARI,F430,111000,1 génération,Coupé,2009,30/03/2020,ESSENCE,61680,AUTOMATIQUE,75000,41,490,<150000km
FERRARI,TESTAROSSA,157940,1 génération,Coupé,1988,30/03/2020,ESSENCE,59293,MANUEL,31000,28,390,<150000km
FERRARI,CALIFORNIA,116990,1 génération,Cabriolet,2012,22/04/2020,ESSENCE,75640,AUTOMATIQUE,67000,37,460,<150000km
FERRARI,FF,150680,1 génération,Coupé,2013,30/03/2020,ESSENCE,62640,AUTOMATIQUE,75000,63,660,<150000km
FERRARI,812 SUPERFAST,446400,1 génération,Coupé,2019,28/05/2020,ESSENCE,2009,AUTOMATIQUE,16000,81,800,<5000km
FERRARI,F355,93480,1 génération,Coupé,1999,30/03/2020,ESSENCE,73710,MANUEL,86000,20,375,<150000km
FERRARI,458,160980,1 génération,Coupé,2011,20/05/2020,ESSENCE,79350,AUTOMATIQUE,83000,49,570,<150000km
FERRARI,F430,91520,1 génération,Coupé,2006,09/05/2020,ESSENCE,46590,MANUEL,98000,43,490,<50000km
FERRARI,599,141450,1 génération,Coupé,2010,30/03/2020,ESSENCE,43845,AUTOMATIQUE,1000,58,620,<50000km
FERRARI,TESTAROSSA,98480,1 génération,Coupé,1992,30/03/2020,ESSENCE,63686,MANUEL,75000,28,390,<150000km
FERRARI,458,203390,1 génération,Coupé,2017,30/03/2020,ESSENCE,16060,AUTOMATIQUE,75000,49,570,<50000km
FERRARI,CALIFORNIA,93630,1 génération,Cabriolet,2011,30/03/2020,ESSENCE,104204,AUTOMATIQUE,2000,37,460,<150000km
FERRARI,F430,101260,1 génération,Coupé,2008,30/03/2020,ESSENCE,31065,AUTOMATIQUE,94000,43,490,<50000km
FERRARI,360,88040,1 génération,Coupé,2001,30/03/2020,ESSENCE,69600,MANUEL,98000,34,400,<150000km
