marque,modele,prix,generation,carrosserie,annee,date,energie,kilometrage,transmition,code postal,chevaux_fiscaux,chevaux_din,etat
CITROEN,C3 AIRCROSS,21120,1 génération,Hatchback,2020,08/04/2020,DIESEL,15941,MANUEL,19000,5,99,<50000km
CITROEN,C4,16060,2 génération [restyling],Berline,2019,02/06/2020,DIESEL,76393,MANUEL,1000,6,116,<150000km
CITROEN,C3,13180,3 génération,Hatchback,2017,08/04/2020,DIESEL,125507,MANUEL,87000,5,99,<150000km
CITROEN,C4,16180,2 génération [restyling],Berline,2018,08/04/2020,ESSENCE,29551,MANUEL,87000,6,114,<50000km
CITROEN,DS4,11640,1 génération,Hatchback,2015,13/04/2020,DIESEL,129870,MANUEL,84000,7,150,<150000km
CITROEN,C1,12190,2 génération,Hatchback,2021,13/04/2020,ESSENCE,11,MANUEL,30000,4,69,<5000km
CITROEN,C3,14970,3 génération,Hatchback,2018,08/04/2020,ESSENCE,36988,MANUEL,38000,4,82,<50000km
CITROEN,BERLINGO,24760,3 génération,Monospace,2019,08/04/2020,DIESEL,23313,MANUEL,87000,5,102,<50000km
CITROEN,C3 AIRCROSS,16930,1 génération,Hatchback,2020,08/04/2020,ESSENCE,10167,MANUEL,38000,5,82,<50000km
CITROEN,C3,16930,3 génération,Hatchback,2020,08/04/2020,DIESEL,17743,MANUEL,83000,5,99,<50000km
CITROEN,C3,17640,3 génération,Hatchback,2019,08/04/2020,ESSENCE,16384,AUTOMATIQUE,46000,6,110,<50000km
CITROEN,C4,16750,2 génération,Hatchback,2017,20/05/2020,ESSENCE,31428,AUTOMATIQUE,22000,7,120,<50000km
CITROEN,C3,12630,3 génération,Hatchback,2019,03/06/2020,ESSENCE,16851,MANUEL,34000,4,82,<50000km
CITROEN,C3,13350,3 génération,Hatchback,2019,08/05/2020,ESSENCE,20947,MANUEL,38000,4,82,<50000km
CITROEN,BERLINGO,16600,2 génération [2pi restyling],Monospace,2018,18/04/2020,ESSENCE,31504,MANUEL,31000,6,110,<50000km
CITROEN,C3 AIRCROSS,16260,1 génération,Hatchback,2020,08/04/2020,ESSENCE,8209,MANUEL,42000,5,110,<50000km
CITROEN,C4,19220,2 génération [restyling],Berline,2021,28/05/2020,ESSENCE,1,AUTOMATIQUE,42000,6,114,<5000km
CITROEN,C3,13750,3 génération,Hatchback,2020,27/05/2020,ESSENCE,1856,MANUEL,27000,4,82,<5000km
CITROEN,C4,15110,2 génération [restyling],Berline,2018,08/04/2020,DIESEL,95355,AUTOMATIQUE,30000,6,116,<150000km
CITROEN,C4,11970,2 génération,Hatchback,2016,08/04/2020,ESSENCE,84546,MANUEL,6000,6,110,<150000km
CITROEN,DS3,10340,1 génération,Hatchback,2012,02/06/2020,ESSENCE,63440,MANUEL,36000,5,95,<150000km
CITROEN,C3 AIRCROSS,16970,1 génération,Hatchback,2020,06/06/2020,ESSENCE,29761,AUTOMATIQUE,81000,6,110,<50000km
CITROEN,C3,21260,3 génération,Hatchback,2021,01/05/2020,DIESEL,11,MANUEL,30000,5,99,<5000km
CITROEN,C5 AIRCROSS,33020,1 génération,4x4_SUV,2020,08/04/2020,DIESEL,10399,AUTOMATIQUE,77000,9,177,<50000km
CITROEN,BERLINGO,17880,2 génération [2pi restyling],Monospace,2018,08/04/2020,DIESEL,30617,MANUEL,63000,5,90,<50000km
CITROEN,C3 AIRCROSS,19060,1 génération,Hatchback,2019,08/04/2020,ESSENCE,20213,AUTOMATIQUE,62000,6,110,<50000km
CITROEN,C4,18690,2 génération [restyling],Berline,2019,08/04/2020,DIESEL,17826,MANUEL,7000,5,114,<50000km
CITROEN,C5 AIRCROSS,28140,1 génération,4x4_SUV,2021,30/05/2020,ESSENCE,1,MANUEL,42000,7,131,<5000km
CITROEN,C4 SPACETOURER,28780,1 génération,Monospace,2020,04/06/2020,DIESEL,20915,AUTOMATIQUE,69000,9,150,<50000km
CITROEN,C5 AIRCROSS,28980,1 génération,4x4_SUV,2020,11/04/2020,ESSENCE,2275,MANUEL,50000,7,131,<5000km
CITROEN,C4 AIRCROSS,15090,1 génération,4x4_SUV,2016,26/05/2020,DIESEL,138295,MANUEL,84000,6,114,<150000km
CITROEN,C4 SPACETOURER,20830,1 génération,Monospace,2020,08/04/2020,DIESEL,34765,MANUEL,63000,6,120,<50000km
CITROEN,C3 AIRCROSS,15580,1 génération,Hatchback,2020,30/05/2020,ESSENCE,22060,MANUEL,44000,5,110,<50000km
CITROEN,BERLINGO,19020,2 génération [2pi restyling],Monospace,2019,30/05/2020,DIESEL,33111,MANUEL,50000,6,120,<50000km
CITROEN,C3,14130,3 génération,Hatchback,2019,03/06/2020,ESSENCE,19914,MANUEL,34000,4,82,<50000km
CITROEN,C4 AIRCROSS,9500,1 génération,4x4_SUV,2013,05/06/2020,DIESEL,135468,MANUEL,95000,6,114,<150000km
CITROEN,C4,16210,2 génération [restyling],Berline,2018,29/04/2020,ESSENCE,55570,AUTOMATIQUE,68000,7,116,<150000km
CITROEN,C3,15090,3 génération,Hatchback,2020,06/06/2020,ESSENCE,15421,MANUEL,56000,4,82,<50000km
CITROEN,C3 AIRCROSS,22760,1 génération,Hatchback,2021,08/04/2020,ESSENCE,1,MANUEL,42000,6,110,<5000km
CITROEN,C3 AIRCROSS,19210,1 génération,Hatchback,2019,08/04/2020,ESSENCE,19318,MANUEL,59000,6,110,<50000km
CITROEN,C3,13860,3 génération,Hatchback,2018,08/04/2020,ESSENCE,27417,MANUEL,16000,4,82,<50000km
CITROEN,BERLINGO,22150,3 génération,Monospace,2020,13/04/2020,ESSENCE,19324,MANUEL,19000,6,110,<50000km
CITROEN,C3,9700,2 génération [restyling],Hatchback,2014,13/04/2020,ESSENCE,44544,MANUEL,27000,4,68,<50000km
CITROEN,C3,15880,3 génération,Hatchback,2020,08/04/2020,ESSENCE,16220,AUTOMATIQUE,13000,6,110,<50000km
CITROEN,C4,12670,2 génération,Hatchback,2015,15/05/2020,DIESEL,59873,AUTOMATIQUE,38000,6,114,<150000km
CITROEN,C3,17500,3 génération,Hatchback,2019,08/04/2020,ESSENCE,22740,MANUEL,31000,5,110,<50000km
CITROEN,C3 AIRCROSS,19370,1 génération,Hatchback,2019,08/04/2020,ESSENCE,16,MANUEL,18000,5,110,<5000km
CITROEN,C4,16170,2 génération [restyling],Berline,2018,08/04/2020,ESSENCE,23530,MANUEL,92000,5,114,<50000km
CITROEN,C4,14700,2 génération [restyling],Berline,2019,23/05/2020,DIESEL,70110,MANUEL,31000,5,114,<150000km
CITROEN,C3,15220,3 génération,Hatchback,2019,08/04/2020,DIESEL,37859,MANUEL,19000,4,75,<50000km
