dates,150 cv,114 cv,117 cv
2018-07-01,23940.0,17990.0,16990.0
2019-02-01,,18980.0,16990.0
2019-06-01,,20900.0,17330.0
2019-09-01,,17490.0,17672.5
2019-10-01,,19999.0,
2019-11-01,,16990.0,
2020-02-01,,19500.0,
2020-03-01,,18246.125,
2020-05-01,,17460.0,
2020-06-01,,19388.0,
2020-07-01,,18683.0,
