dates,500 cv,245 cv,340 cv,280 cv,350 cv,204 cv
2020-03-01,42540.0,32971.42857142857,32920.0,23080.0,30200.0,32740.0
2020-04-01,,30015.0,33600.0,,,31278.0
2020-05-01,,33754.28571428572,,,,
2020-06-01,,35995.0,,,,
