dates,500 cv,405 cv,385 cv,290 cv,240 cv,400 cv,340 cv,550 cv,382 cv
2020-04-01,27955.0,25830.0,18775.0,17195.0,38000.0,31500.0,10490.0,28900.0,30945.0
2020-05-01,39700.0,26752.85714285714,19441.25,18507.14285714286,23000.0,39980.0,16500.0,30540.0,
2020-06-01,27088.571428571428,27425.555555555555,18733.8,15700.0,25614.444444444445,,,,
2020-07-01,31390.0,,,,23180.666666666668,,,,
