dates,190 cv,245 cv,150 cv,258 cv,218 cv,184 cv,313 cv,340 cv,306 cv,450 cv,381 cv
2020-03-01,31115.0,23540.0,26782.5,33832.0,30597.5,19733.333333333332,40625.71428571428,45790.0,35700.0,57650.0,41620.0
2020-04-01,32590.0,26620.0,24470.0,28476.666666666668,21060.0,25793.333333333332,36100.0,,,,
2020-05-01,33096.25,,23003.333333333332,37743.63636363636,27005.454545454544,25682.0,,,,,
