dates,163 cv,204 cv,240 cv,150 cv,125 cv,140 cv,109 cv,241 cv,181 cv,120 cv
2020-04-01,6865.0,7250.0,5610.0,7960.0,1500.0,3330.0,4100.0,3800.0,7500.0,5095.0
2020-05-01,4100.0,,,,,6200.0,5000.0,,,
