dates,90 cv,105 cv,75 cv,115 cv,125 cv,114 cv,185 cv,126 cv,200 cv,85 cv,160 cv
2019-02-01,2323.0,3000.0,3480.0,2000.0,2500.0,1133.3333333333333,8000.0,1000.0,7800.0,1500.0,5000.0
2020-05-01,2595.0,1900.0,2300.0,1600.0,6590.0,2430.0,,,,,
2020-06-01,1866.6666666666667,,1550.0,,,,,,,,
2020-07-01,,,2037.5,,,,,,,,
