dates,165 cv,132 cv,110 cv,115 cv,130 cv,140 cv,160 cv,275 cv,205 cv
2020-03-01,25815.42372881356,17727.5,17982.323232323233,23831.428571428572,13270.0,19940.0,24610.0,36990.0,21606.0
2020-04-01,27983.91304347826,17061.25,19145.0,20532.666666666668,11345.0,17990.0,22737.5,,20250.0
2020-05-01,28697.85714285714,18815.0,18899.444444444445,18250.0,,20784.285714285714,23080.0,,
2020-06-01,25940.869565217392,17941.666666666668,18257.14285714286,23395.0,,20470.0,,,
2020-07-01,,17304.0,21060.0,19948.333333333332,,21651.666666666668,,,
