dates,115 cv,90 cv,80 cv,147 cv,190 cv,125 cv,101 cv,75 cv,192 cv,100 cv,120 cv,150 cv,65 cv
2020-05-01,1650.0,1725.0,990.0,2800.0,4500.0,2378.0,2139.8,1066.6666666666667,3000.0,3500.0,3200.0,2775.0,2698.0
2020-06-01,2590.0,2600.0,,1000.0,,3200.0,,,,3330.0,3200.0,,
2020-07-01,,,,2500.0,,,,,,,,,
